stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,2,4,3,14,3,10,0,0,0
 24-34,0,0,0,0,0,1.64,5.75,1.64,0.82,0,0,0.82,0,0,0,0,4.1,0,0.82,10.67,0,0,0,2.46,0,7.39,4.1,9.85,0,0,0
 36-46,0,0,0,0,0,0,12.89,0.81,0.81,0,0,0,0,0,0,0,0,0,4.03,14.5,0.81,0,0,1.61,0,6.45,0,4.03,0,0,0
 48-58,0,0,0,0,0.57,6.89,18.94,0,1.15,0,0,0.57,0,0,0,1.15,2.87,0,3.44,28.12,0.57,0,0,5.74,0,6.31,0,5.74,0.57,0,1.15
 60-70,0,0,0,0,0.98,4.91,15.7,0,0,0,0,0,0,0,0,0,3.93,0.98,1.96,32.39,0,0,0.98,1.96,0,8.83,0,1.96,0,0,0
 72-82,0,0,0,0,0,9.82,12.76,0.98,0.98,0,0.98,0,0,0,0,0,3.93,0,3.93,50.06,0,0.98,0,3.93,0,10.8,0,1.96,0,0.98,0.98
 84-94,0,0,2.12,2.12,1.06,7.43,20.18,1.06,2.12,0,0,0,1.06,2.12,0,0,5.31,0,7.43,15.93,0,0,0,24.43,0,7.43,0,4.25,0,0,0
 96-106,0,0,1.09,4.37,1.09,8.74,37.16,2.19,1.09,0,0,0,1.09,0,0,0,3.28,0,6.56,22.95,1.09,0,0,24.04,0,12.02,0,3.28,0,0,0
108-118,0,0,0,0,0.77,7.66,43.66,0,0.77,1.53,0,0,0,0,0.77,0.77,2.3,0.77,12.26,17.62,0.77,0,0,11.49,0,13.02,0,0,0,0,0
120,0,0,0,0,0,3.92,41.16,0,0,0,0,0,0,0,0,0,1.96,0,9.8,25.48,0,1.96,0,11.76,0,9.8,0,0,0,0,0
