stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.43,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,7.89,0,0,0,0,0,0,86.75,0,0,0,2.63,44.69,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,9.44,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,1,1,0,0,10,1,0,1,0,10,0,2,0,0,0
 24-34,0,0,2.46,0,0.82,0.82,0,0,1.64,0,8.21,0,0,0.82,0,0.82,0,0,3.28,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0.81,0.81,2.42,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,2.87,0,0.57,0,0,0,0.57,0,4.02,0,0,1.15,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,4.91,0,0.98,0,0,0.98,0,0.98,1.96,0,0,3.93,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,6.37,0,0,1.06,0,1.06,1.06,0,5.31,0,0,0,0,2.12,0,0,0,0,0,3.19,0,0
 96-106,0,0,10.93,1.09,0,2.19,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,2.19,0,0,1.09,0
108-118,0,0,13.02,0,0,2.3,0,3.06,0.77,0.77,0.77,0.77,0.77,0.77,0,0,0,0,1.53,0,0,1.53,0.77,0.77
120,0,0,3.92,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0
