stage,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,neural,periderm
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,11.78,0,0,2.94,0.98
 84-94,0,0,0,0,0,0,1.06,19.12,0,0,0,0
 96-106,0,4.37,0,1.09,1.09,0,0,42.62,1.09,0,5.46,0
108-118,0,0,0.77,0,1.53,1.53,0,42.13,0,0.77,4.6,0.77
120,0,0,0,0,1.96,0,0,68.59,0,1.96,5.88,0
