stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,13,2,0,2,0,0,3,0,1,0,0,0,0,0,3,0,0,0,38,2,0,1,1,0,5,1,4,9,0,0,0
 24-34,0.82,8.21,0,0,9.85,0,0,0.82,0,0,0.82,0.82,0,0,0,5.75,1.64,0,0,55,0.82,1.64,3.28,0,0,0,0,0,4.93,0,0,0
 36-46,0.81,1.61,0,0,10.47,0.81,0.81,2.42,0,0,0.81,0,0,0,0,3.22,0,0,0.81,13.7,0,1.61,0.81,0,1.61,0,0.81,0,4.83,0,0,1.61
 48-58,0,1.72,0,0,16.07,0,0.57,1.72,0.57,0,0,0,0,0,0,8.61,0,0,0,10.9,0,1.15,1.15,0,0,0,0,0,2.3,0,0,0
 60-70,0,2.94,0,0,9.82,0,0,1.96,0.98,0,0,2.94,0.98,0,0,7.85,1.96,0.98,0,11.78,0,3.93,1.96,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,4.91,0,0,12.76,0,0,6.87,0.98,0,0.98,0,0,2.94,0.98,11.78,0.98,0,1.96,23.56,0,1.96,1.96,0,0.98,0,0,0,0,0,0.98,1.96
 84-94,0,4.25,0,1.06,10.62,0,0,2.12,4.25,0,0,1.06,0,0,1.06,9.56,2.12,0,0,9.56,0,0,0,0,1.06,0,1.06,0,0,1.06,0,2.12
 96-106,1.09,3.28,0,0,10.93,1.09,0,2.19,2.19,0,3.28,1.09,0,2.19,0,9.84,0,0,1.09,13.11,0,4.37,3.28,0,1.09,0,0,0,1.09,1.09,0,0
108-118,0,2.3,1.53,0,7.66,0,0.77,3.06,0.77,0,1.53,1.53,0,0.77,0,11.49,0,0,0.77,15.32,0,1.53,0.77,0,0,0,0,0,0,1.53,0,0.77
120,0,1.96,0,1.96,3.92,0,0,1.96,1.96,0,0,0,0,0,0,1.96,1.96,0,0,7.84,0,1.96,3.92,0,7.84,0,0,0,0,0,0,0
