stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,7.89,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,72.38,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,23,13,241,0,2,0,4,2,6,1,11,0,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0,0,0,0.82,0.82,0,0,22.16,0,46.79,44.33,112.46,0,0,0,3.28,0.82,2.46,0,27.09,0,4.93,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,45.12,0,8.06,126.49,98.29,0.81,0,0.81,4.03,0,1.61,0,24.17,0,3.22,0,0
 48-58,0,0,0,1.15,0,12.62,0,1.15,0,1.15,0,0,0,0,0,68.86,0.57,9.18,167.55,36.15,0,0,0.57,17.79,0,1.72,0,14.92,0,4.59,0,0.57
 60-70,0,0,0,0,0,26.5,0,0,0,1.96,0,0,0,0.98,0.98,94.23,0.98,15.7,262.07,23.56,0,0,2.94,13.74,0,0.98,0,9.82,0,3.93,0,0.98
 72-82,0,0,0.98,1.96,0,45.16,0,0,1.96,5.89,0,0,0,0,0,139.4,1.96,6.87,356.34,5.89,1.96,0,4.91,26.5,0,0,0,3.93,3.93,28.47,0.98,0
 84-94,0,0,0,3.19,0,40.36,0,6.37,0,2.12,1.06,0,1.06,0,0,82.84,1.06,5.31,163.55,22.3,1.06,0,2.12,36.11,0,0,0,6.37,1.06,12.74,0,0
 96-106,0,0,0,4.37,0,42.62,0,5.46,0,7.65,1.09,0,0,0,0,99.45,0,8.74,127.86,16.39,2.19,0,6.56,49.18,0,0,0,0,2.19,15.3,2.19,0
108-118,0,0,0,0,0,17.62,0.77,4.6,0,3.06,0,0,0,0.77,0,99.58,0.77,5.36,170.81,6.13,1.53,0,2.3,13.79,0,0,0,3.06,1.53,12.26,1.53,0
120,0,0,0,5.88,0,27.44,0,9.8,0,1.96,0,0,0,0,0,54.87,1.96,5.88,162.66,11.76,1.96,0,1.96,9.8,0,0,0,0,0,23.52,1.96,0
