stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,2,2,0,7,0,0,0,2,0,0,0,0,0,0,0,0,3,15,0,13,43,4,0,1,5,0,1,2,0,1,14,18,0,0,2,0,0
 24-34,0.82,0,1.64,0,0,13.13,0,0,1.64,4.1,0,0,3.28,0.82,0,2.46,0.82,0,5.75,35.3,0,36.94,135.44,0,0,0.82,0,0,0,0,0.82,2.46,4.1,34.48,0,0,24.63,0,4.1
 36-46,0,0,0.81,0.81,0,29,0,0,1.61,8.86,0,0,4.83,0,0.81,0.81,0,0,0.81,50.76,1.61,18.53,73.32,0,0,0.81,0,0,3.22,0,0,0,0,27.39,0,0,12.09,0.81,3.22
 48-58,0.57,0,1.72,0,0,82.05,0,0,1.72,24.1,0,0.57,0.57,0,0,0.57,0,0.57,2.3,48.2,6.31,12.05,78.04,0,0,0.57,0,0,1.72,0,0,0.57,0,20.66,0,0,15.49,0,3.44
 60-70,0.98,0,1.96,0,0,193.36,0,1.96,4.91,35.33,0,0,0.98,0.98,0,0,0.98,0,1.96,76.56,5.89,9.82,111.89,0,0,1.96,0,0,0.98,0,0,0.98,0,9.82,0,0.98,7.85,1.96,2.94
 72-82,0,0,4.91,0,0,229.71,0,0.98,2.94,32.39,0,0,2.94,0,0.98,0.98,0,0,0,71.66,4.91,7.85,132.52,0,0,0.98,0,1.96,0,0,0,0,0,7.85,0.98,3.93,33.38,6.87,0.98
 84-94,0,0,0,0,0,157.18,0,2.12,2.12,11.68,1.06,0,2.12,1.06,0,3.19,0,0,0,48.85,5.31,8.5,67.97,0,1.06,0,0,0,2.12,0,0,0,0,8.5,1.06,7.43,19.12,0,3.19
 96-106,0,0,1.09,0,0,97.26,0,0,1.09,8.74,0,0,3.28,3.28,0,1.09,0,0,1.09,44.81,4.37,3.28,63.39,0,0,1.09,0,1.09,0,0,0,0,0,2.19,0,0,20.76,2.19,4.37
108-118,0.77,0,0,0.77,0.77,64.34,0.77,0.77,0.77,10.72,0,0,0,0,0,4.6,0,0,0,33.7,3.83,6.13,47.49,0,0.77,1.53,0,0.77,0.77,0,0,0,0,0.77,0,0,16.85,0,5.36
120,0,0,1.96,0,0,52.91,0,0,3.92,13.72,0,0,0,0,0,1.96,0,1.96,0,52.91,15.68,5.88,54.87,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,17.64,0,0
