stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,24,8,0,14,0,1,0,7,1,1,1,0,0,0,0,1,0,8,0,0,7,120,3,0,2,3,0,1,18,2,3,15,48,0,0,2,0,0
 24-34,0,1.64,5.75,0,0,27.09,0,1.64,0.82,6.57,2.46,0,0,0.82,0.82,0,0.82,2.46,0.82,23.8,0,0.82,6.57,261.85,1.64,4.1,3.28,0,0,15.6,0,1.64,0.82,2.46,63.21,0,0,2.46,0,0
 36-46,0.81,0,7.25,1.61,0,68.48,0,0,1.61,13.7,0,0,0.81,0.81,0,0,0,0,0,18.53,0,0.81,8.86,245.73,0.81,7.25,1.61,0,0,11.28,0,1.61,0.81,0,45.92,0,0,3.22,0,0.81
 48-58,0,0,3.44,0,0,102.14,1.15,0,1.15,20.66,1.72,0,0.57,0.57,0,0,0.57,0.57,0,32.13,0,0,5.16,242.15,0.57,2.87,0.57,0,0.57,5.74,0,0,0,0,47.63,0,0.57,2.87,0,2.3
 60-70,0,0,5.89,0,0,93.24,0,2.94,0.98,22.58,1.96,0,2.94,0,0,0,0.98,0,0.98,26.5,0,0,1.96,205.14,4.91,2.94,1.96,0,0.98,6.87,0,0.98,1.96,0,35.33,0,0,3.93,0,0
 72-82,0.98,0,8.83,1.96,0,118.78,0.98,0,1.96,28.47,0,0,0.98,0,0.98,0.98,0,0,0,54.97,0,1.96,2.94,264.07,0.98,2.94,3.93,0,0,7.85,0,0,0,0,15.71,0,1.96,4.91,2.94,1.96
 84-94,0,0,9.56,4.25,0,91.34,0,4.25,0,10.62,2.12,0,1.06,4.25,0,0,0,0,1.06,43.54,0,3.19,12.74,109.39,1.06,5.31,5.31,0,0,29.74,0,0,1.06,0,10.62,2.12,2.12,5.31,1.06,1.06
 96-106,0,0,7.65,6.56,1.09,55.74,0,3.28,1.09,21.86,1.09,0,1.09,8.74,3.28,0,2.19,0,0,27.32,2.19,2.19,5.46,78.68,0,2.19,3.28,0,0,20.76,0,2.19,0,0,6.56,0,0,6.56,2.19,0
108-118,0.77,0,6.89,6.89,0,49.02,0,2.3,1.53,23.74,5.36,0,0.77,3.06,3.06,0.77,0.77,0.77,0.77,45.19,0,0.77,6.13,145.53,0,5.36,3.83,0,1.53,15.32,0,0,0.77,0,2.3,5.36,0.77,3.06,0.77,1.53
120,0,0,13.72,9.8,0,56.83,0,0,1.96,23.52,3.92,0,1.96,3.92,1.96,1.96,0,3.92,0,33.32,0,0,5.88,148.94,0,1.96,0,0,0,13.72,0,1.96,0,0,3.92,3.92,0,9.8,1.96,0
