stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,18.4,0,0,0,0,2.63,0,0,0,0,0,0,0,60.46,0,0,0,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,53.5,0,0,0,47.2,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,1,4,41,5,0,0,0,1,0,0,4,0,0,2,0,0,28,1,0,1,0,0,0,8,0,1,1,4,0,0
 24-34,0,0,0,2.46,7.39,3.28,0,0,0,0,0,0,14.78,0,0,0.82,0,1.64,22.16,0,0,0,0,0.82,0,0,0,0,0,6.57,0,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,0,9.67,0,0,4.03,0,0,13.7,0.81,0,0,0,0,0,0,0,0,0,8.06,0,0
 48-58,0,0,0,0.57,0,2.87,0,0.57,1.72,0,0,0,21.8,0,0.57,4.59,0,1.15,14.35,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,8.83,0,0,0.98,0.98,0,0.98,31.41,0,0,3.93,0.98,0.98,13.74,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0.98,1.96,0.98,0,1.96,0,0,0.98,54.97,0,0,6.87,0,0.98,7.85,0,0,0,0,0,0,0,0.98,0,0,0,0,6.87
 84-94,0,0,0,2.12,0,3.19,0,0,5.31,1.06,0,0,93.46,0,0,2.12,0,1.06,6.37,0,0,0,0,1.06,0,0,1.06,0,0,0,0,3.19
 96-106,0,0,0,1.09,1.09,1.09,0,0,0,1.09,0,3.28,77.59,0,0,2.19,0,0,7.65,0,0,1.09,0,0,0,0,0,0,0,0,1.09,9.84
108-118,0,0,0,1.53,1.53,3.83,0,0,1.53,1.53,0,0,74.3,0.77,0,8.43,0,0,6.89,0,0,0,0,0,0.77,0,0,0,0,0,0.77,6.13
120,0,0,0,3.92,0,5.88,0,0,1.96,0,0,0,82.31,0,0,3.92,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,3.92
