stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,49.04,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,12.59,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,13.13,0,1.64,0,0.82,0,0.82,4.93,0,11.49,0,0,14.78,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,7.25,0,3.22,0,0,0,0,4.83,0,16.11,0,0,4.03,0,0,0,1.61,0,0,0,0
 48-58,0,5.16,0,0,1.15,0,0,0,0,0.57,0,0,2.87,0,2.3,1.15,2.3,0,0,2.87,0,13.2,0,0,5.74,0,0.57,0,0,0,0,0,0
 60-70,0,16.69,0,0,0.98,0,0,0,1.96,0,0,0,8.83,0,13.74,0.98,0,0,0,0.98,0,10.8,0,0,11.78,0,0,0,0,1.96,0,0,0
 72-82,0,67.73,0,0,2.94,0,0,0.98,15.71,0.98,0,0,19.63,0,23.56,0.98,0.98,0,0,10.8,0.98,15.71,0.98,0,7.85,0,0,0,0,12.76,0,0,0
 84-94,0,159.31,1.06,0,1.06,2.12,0,1.06,35.05,0,0,0,22.3,0,49.92,1.06,4.25,0,0,3.19,0,62.66,0,0,23.36,0,0,0,0,57.35,0,0,0
 96-106,0,224.03,6.56,0,6.56,0,1.09,2.19,90.71,0,0,3.28,32.79,1.09,77.59,4.37,5.46,1.09,1.09,15.3,1.09,64.48,1.09,0,21.86,0,0,1.09,0,122.4,1.09,1.09,0
108-118,0,186.13,0.77,2.3,5.36,1.53,0,3.06,111.06,0,0.77,0.77,9.96,0,62.04,10.72,3.83,0.77,0.77,22.21,0,48.26,0.77,0,17.62,0,0,0,0,123.32,1.53,0,0
120,0,109.75,0,0,1.96,0,0,1.96,35.28,0,0,0,19.6,0,27.44,3.92,1.96,0,0,13.72,0,13.72,0,0,13.72,0,0,0,0,47.03,0,0,1.96
