stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,7.89,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,0,0,0,0,0,0.82,0,1.64,24.63,0,0,0,0.82,0,2.46,0.82,0,0
 36-46,0,0,0.81,2.42,0,0.81,0,0,0,0,0,0,2.42,0.81,1.61,37.06,1.61,0,0,0.81,0,6.45,0.81,0,0
 48-58,0,0,0,9.18,0,0,2.3,0,0,0,0,0,4.59,0,1.15,29.84,0,0,0,0.57,0.57,6.31,0,0,0
 60-70,0,0,0.98,2.94,0,0.98,1.96,0,0.98,0,0,0,2.94,0,0,9.82,0,0.98,0,0,0,3.93,0,0,0
 72-82,0,0,0.98,10.8,0,0,0,0,0,0,0,0,9.82,0,1.96,30.43,0.98,0.98,0,1.96,0,0.98,0,0.98,0
 84-94,0,0,2.12,5.31,1.06,0,4.25,1.06,0,0,0,1.06,0,0,2.12,11.68,1.06,1.06,0,1.06,0,1.06,2.12,1.06,0
 96-106,0,0,1.09,5.46,0,0,1.09,0,0,0,0,0,3.28,0,0,15.3,0,1.09,0,3.28,0,0,0,0,0
108-118,0,0,8.43,6.13,0,0,3.06,0.77,0,1.53,0,0,0.77,0,0.77,8.43,0,0.77,0,1.53,0,0.77,0,0,0.77
120,0,0,3.92,0,0,0,3.92,0,0,0,5.88,1.96,1.96,0,0,7.84,0,0,0,1.96,1.96,0,0,0,0
