stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,3,4,0,0,0,0
 24-34,0,0.82,8.21,0,1.64,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,25.45,0.82,0,0,0,0,1.64,0,0,10.67,0,0,0.82,0.82
 36-46,0,0,7.25,0,2.42,0.81,0.81,0,1.61,0,0,0,0,0,0,0,1.61,4.03,0,0,0.81,47.53,0,0,0,0,0,6.45,0.81,0,15.31,0,0,0,5.64
 48-58,0,0,6.31,0,2.87,0,1.15,0,3.44,0,0,1.15,0.57,0,0,0,1.72,4.59,0,0,1.15,53.94,1.15,0,0.57,0,0,2.87,0,0,11.48,0,0,0.57,7.46
 60-70,0,0,9.82,0,6.87,0.98,2.94,0,0.98,0,0,0.98,0.98,0,0,0,0,3.93,0,0,0,62.82,0,0,0,0,0.98,0.98,0,0,8.83,0,0,0,8.83
 72-82,0,0,13.74,0,9.82,0,0.98,0.98,2.94,0,0,0.98,0,0.98,0.98,0,0,4.91,2.94,0,0,71.66,0,0,0,0,0,0.98,0,0,1.96,0,0,0,12.76
 84-94,0,0,27.61,0,8.5,0,11.68,1.06,4.25,0,0,2.12,1.06,2.12,0,0,0,1.06,0,1.06,1.06,27.61,0,0,0,0,0,2.12,0,0,2.12,0,1.06,0,8.5
 96-106,0,0,36.06,0,4.37,0,8.74,0,1.09,0,0,9.84,0,0,1.09,1.09,0,5.46,1.09,0,0,25.14,0,1.09,0,0,1.09,3.28,0,0,2.19,1.09,0,1.09,19.67
108-118,0,0,31.4,0,3.83,0,9.96,0,1.53,0.77,1.53,4.6,1.53,3.83,1.53,0,0,3.83,0.77,0,0,42.89,0.77,0.77,0.77,0,0.77,3.83,0,0,2.3,0.77,0,1.53,22.98
120,0,0,23.52,0,9.8,0,5.88,0,1.96,0,0,5.88,5.88,0,0,0,0,5.88,0,0,0,41.16,1.96,0,0,0,0,3.92,0,0,3.92,0,0,1.96,7.84
