stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0
 14-21,0,2,1,0,1,0,0,0,0,0,24,0,0,0,0,1,0,2,0
 24-34,0,0,0.82,0,1.64,0,0.82,0,0,0,23.8,0,0,0,0,0,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,58.01,0,0.81,0,0.81,0,0,1.61,0
 48-58,0,0,0.57,0,0.57,0,0,0,1.72,0,63.12,0,0,0,0,0,0,1.72,0
 60-70,0,0,0.98,0,1.96,0,0,0,1.96,0,106,0,0,0,0,0,0,0.98,0
 72-82,0,0,4.91,0,1.96,0,0,0,2.94,0,127.62,0,0,0,0,0,0,1.96,0
 84-94,0,0,8.5,0,1.06,0,0,1.06,2.12,1.06,71.16,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,4.37,0,5.46,0,0,0,6.56,0,50.27,0,0,0,0,0,0,2.19,0
108-118,0,1.53,1.53,1.53,3.06,0.77,0,0.77,3.83,0,58.21,0,0,0,0,0,0,0.77,1.53
120,0,1.96,3.92,0,1.96,0,0,0,0,1.96,76.43,0,1.96,0,0,0,0,0,0
