stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,65.89,2319.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,18.39,901.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,18.39,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,15.77,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,6.57,0.82,0.82,2.46,0,0,1.64,0,30.37,0,0.82,0,0,2.46,0.82,0,0,0,4.93,0,0,0,0,0,0,0,0,0,10.67,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,53.17,0.81,0,0,0,3.22,0.81,0,0,0,1.61,0,0,0,0,0,0.81,2.42,0,0,8.86,0
 48-58,0,0,0,1.15,0,1.72,1.72,0,0,0,0.57,38.44,0,2.3,0,0,4.02,0.57,0,1.15,0,4.02,0,0,0,0.57,0,0,0,0,0,1.72,1.15
 60-70,0,0,0,4.91,0,4.91,3.93,0,1.96,0.98,0,79.5,0.98,1.96,0,1.96,0.98,0,0,0,0,5.89,0,0,0,0.98,0,0,0,0,0,3.93,1.96
 72-82,0,0,0.98,4.91,0,4.91,2.94,0,0.98,1.96,0.98,66.75,0.98,0.98,0,0,0,3.93,0,0,0,2.94,0,0,0,0,0,0,0,0,0,1.96,2.94
 84-94,0,0,0,18.05,0,1.06,4.25,0,3.19,4.25,0,120.01,0,3.19,0,0,1.06,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0,0,0,7.43,1.06
 96-106,0,0,0,15.3,0,3.28,1.09,1.09,1.09,6.56,0,131.14,1.09,1.09,0,0,1.09,2.19,0,0,0,3.28,0,0,0,1.09,0,0,0,0,1.09,9.84,6.56
108-118,0,0,0,16.09,0,0.77,0.77,0,1.53,4.6,0.77,106.47,0,2.3,0.77,1.53,0.77,0.77,0,0,0,6.13,1.53,0.77,0,0,0,0,0,0.77,0,4.6,0
120,0,0,0,37.24,0,1.96,5.88,0,0,3.92,0,123.47,0,0,0,3.92,0,1.96,3.92,0,0,3.92,0,0,0,1.96,0,0,0,0,0,7.84,3.92
