stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,8.21,0,0,5.75,1.64,1.64,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0.81,0,0,8.06,0,0,3.22,0,2.42,0,0.81
 48-58,0,0,0,1.72,0,0,0.57,0,0.57,0,0,0,0,0.57,5.74,0,0,3.44,0,1.15,0,0
 60-70,0,0,0.98,2.94,0,0.98,0,0,0,0,0,0,0,0.98,2.94,1.96,0.98,8.83,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0.98,0,0.98,0.98,0.98,0.98,0.98,0.98,1.96,0.98,4.91,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0,3.19,3.19,0,25.49,0,0,2.12,0
 96-106,0,0,2.19,2.19,1.09,0,1.09,0,0,1.09,3.28,2.19,0,0,6.56,1.09,0,20.76,0,0,6.56,0
108-118,0,0,2.3,1.53,1.53,0,0,0,0,1.53,1.53,0.77,0,0,2.3,2.3,0,10.72,0,0,3.83,0
120,0,0,0,3.92,1.96,0,0,0,0,3.92,1.96,0,0,0,0,0,0,17.64,0,0,0,0
