stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,23,0,0,0,0,1,1,0,0,0,24,0,0,0,0,0
 24-34,0,0,0,12.31,0,8.21,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,5.75,0,0,15.6,132.16,0,1.64,0,0,0.82,0,1.64,0.82,2.46,75.52,0,0,2.46,0,2.46
 36-46,0,0,0,4.03,0,8.06,0,0,0,0.81,0,0,0,0,0,0,0,0,11.28,0,0,13.7,169.19,0.81,0,1.61,0,0.81,0.81,0,0,0,73.32,0,0,0.81,0,0.81
 48-58,0,0,0.57,2.87,0,30.99,0.57,0.57,0,7.46,0,0.57,0,0,0.57,0,0.57,0,21.8,0,0,22.95,272.56,0,0.57,0,0,0,0,0,0,0,72.3,0,0,0,0,0.57
 60-70,0,0,0,2.94,0,84.41,0,0,0,6.87,0,0,0.98,0,0,0,0,0,21.59,0,0.98,15.7,445.61,0,0,1.96,0,0.98,0,0.98,0,0,78.52,0,0,0.98,0,0.98
 72-82,0,0,3.93,7.85,3.93,219.89,0,1.96,2.94,18.65,2.94,0,1.96,0,0,0.98,0.98,0.98,41.23,0,0.98,20.61,646.92,0,2.94,2.94,0,2.94,0,0,0,0,94.24,0,1.96,0.98,0.98,2.94
 84-94,0,0,4.25,19.12,2.12,155.06,0,1.06,0,25.49,1.06,1.06,0,0,1.06,0,1.06,0,22.3,0,2.12,19.12,384.46,1.06,1.06,1.06,0,4.25,0,0,0,0,47.79,2.12,0,0,1.06,0
 96-106,0,0,3.28,13.11,3.28,135.51,1.09,2.19,0,26.23,3.28,1.09,3.28,1.09,0,1.09,1.09,1.09,19.67,0,2.19,16.39,310.37,0,0,2.19,0,3.28,0,0,0,0,30.6,1.09,1.09,1.09,0,1.09
108-118,0,0,3.06,3.83,0,93.45,0,0.77,1.53,19.92,0.77,0,2.3,1.53,0,0,0.77,0,16.85,0.77,0,9.96,449.62,0.77,0.77,0,0.77,0.77,0,0,0,0,19.92,1.53,0.77,0,0,0.77
120,0,0,1.96,5.88,1.96,88.19,0,0,0,27.44,0,0,0,0,0,0,0,0,13.72,0,0,5.88,523.26,0,0,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0
