stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,6.13,245.19,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,42.91,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,126.18,5.26,0,0,68.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,47.2,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,2,0,1,0,0,0,0,0,1,0,2,11,0,0,0,0,1,1,3,0,0,4,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,1.64,0,0.82,0,6.57,8.21,0,0,2.46,0,1.64,37.76,0.82,0.82,0.82,0,0.82,0,0,0,0.82,13.13,0,0,4.1,0
 36-46,0,0,0,0,0,0,8.86,1.61,2.42,0,14.5,1.61,0,0.81,2.42,0,1.61,77.34,0,4.03,0.81,0,0,0,0,0,0,15.31,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,9.18,0,4.02,0,18.94,3.44,0,0,2.87,0,0,44.76,0,1.72,0,0,1.15,0,0,0,0,7.46,0,0,2.3,0
 60-70,0,0,0,0,0,0,7.85,0,2.94,0.98,15.7,1.96,0,0,3.93,0.98,0.98,32.39,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,2.94,0
 72-82,0,0,0,1.96,4.91,0,8.83,0.98,1.96,0,73.62,1.96,0,0,5.89,0,0,13.74,0,2.94,0,0,0,0,0,0,0,1.96,0,0.98,12.76,0.98
 84-94,0,0,0,13.81,7.43,0,3.19,0,3.19,0,66.91,3.19,0,0,1.06,0,0,6.37,1.06,10.62,0,0,3.19,0,0,0,0,0,0,0,8.5,1.06
 96-106,0,0,0,17.49,5.46,0,4.37,0,0,0,119.12,4.37,0,1.09,1.09,0,0,6.56,0,9.84,0,0,4.37,0,0,0,0,0,0,0,15.3,0
108-118,0,0,0,19.15,7.66,0.77,5.36,0.77,0,0,108.77,6.13,0,0,1.53,1.53,0,6.13,0,5.36,0,0,0.77,0,0,0.77,0,0,0.77,0,10.72,0
120,0,0,0,15.68,5.88,0,3.92,0,0,5.88,125.43,7.84,1.96,0,0,1.96,0,9.8,0,5.88,0,0,0,0,0,0,0,0,0,0,13.72,0
