stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,24,0,0,0,0,0,0,0,2,0,1,4,0,0,0
 24-34,0,0,0,0,2.46,0,7.39,0,0,0,0,2.46,0,0,0.82,1.64,6.57,0,0,0.82,23.8,0,1.64,0,0,0,0.82,0,0,0,1.64,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,3.22,0,0.81,0.81,0,0,0,0,2.42,0,0,0,0.81,12.09,0,0.81,0,0,0,2.42,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,2.87,0.57,0,0.57,0.57,0,0,0,0.57,2.3,2.87,0,0,1.15,5.74,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,3.93,0,0,0,4.91,1.96,0,0.98,0,0,6.87,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0.98,7.85,4.91,0.98,0,4.91,1.96,13.74,0,0,0,16.69,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,0,3.19,0,2.12,0,0,0,2.12,11.68,0,0,2.12,2.12,5.31,1.06,0,1.06,13.81,0,1.06,0,0,0,2.12,0,0,2.12,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,0,0,7.65,0,0,0,6.56,14.21,0,0,8.74,1.09,7.65,0,1.09,1.09,17.49,1.09,0,2.19,0,0,1.09,0,0,4.37,0,1.09,0,0,0
108-118,0,0,0,0,0,0.77,5.36,0,0.77,3.83,5.36,21.45,0,0,6.89,1.53,13.02,0,0,2.3,15.32,0,0.77,0.77,0,0,0.77,0,0,5.36,0,0.77,1.53,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,27.44,0,0,0,0,3.92,0,0,0,23.52,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0
