stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,1,0,2,5,0,0
 24-34,0,1.64,0,0,0.82,0,0,0.82,0,0,0.82,0,2.46,0,0,1.64,19.7,1.64,0,0,0,4.93,0,0,6.57,0,0
 36-46,0,1.61,0,0,4.83,0,0.81,0.81,0,0,0,0,2.42,0,0,0,19.34,0,0.81,0,0,2.42,0,0,4.83,0,0
 48-58,0,1.72,0,0,2.3,0,0,1.15,0,0,0,0,4.59,0,0,2.3,14.92,0,0,0,0,0,1.15,0,2.87,0,0.57
 60-70,0,0.98,0.98,0,6.87,0,0,0.98,0,0,0,0,4.91,0.98,0,0.98,6.87,0,0.98,0,0,0,0,0,1.96,0.98,0
 72-82,0.98,0.98,0,0,4.91,0,0,3.93,0.98,0.98,0,0,4.91,0,0,0.98,15.71,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,1.06,9.56,1.06,1.06,2.12,0,0,0,0,6.37,0,0,1.06,5.31,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,3.28,0,0,0,0,0,0,1.09,1.09,0,1.09,1.09,3.28,0,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0,0,2.3,0,0,1.53,0,0,0,0.77,2.3,0,0,0.77,3.83,0.77,0,0.77,0,1.53,0,0,0,0,0
120,0,0,0,0,5.88,0,0,1.96,1.96,0,0,0,5.88,0,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0
