stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,2,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,1.64,0,1.64,13.13,0,0,0,0,0,0,1.64,0,37.76
 36-46,0,0,0.81,2.42,0,0,0,0,0,0,0.81,0,3.22,0,0.81,13.7,0,0.81,0,2.42,0,0.81,1.61,1.61,186.11
 48-58,0,0,0,9.18,0,0.57,1.15,0.57,0,1.15,0,0,5.74,0,0.57,25.25,0.57,0,0,0.57,0,0,1.72,0,243.87
 60-70,0,0,0,5.89,0,0,1.96,0,0,0.98,0,0,4.91,0,0,9.82,0,1.96,0,1.96,0,0,0.98,0,158.03
 72-82,0,0,0.98,2.94,0.98,0,0,0,0,4.91,0,0.98,5.89,0.98,1.96,6.87,0,0,0,1.96,0,0,0,0,116.82
 84-94,0,0,0,5.31,0,0,1.06,0,0,11.68,0,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,0,60.54
 96-106,0,0,0,2.19,0,1.09,1.09,0,0,5.46,0,0,4.37,0,1.09,5.46,0,0,0,0,0,0,0,0,53.55
108-118,0,0,0,1.53,0,0,0.77,0,0,16.85,0,0,0,0,1.53,9.96,0,0,0,0.77,0,0,0,0.77,65.87
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0,0,27.44
