stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,78.86,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,2,0,0,2,0,1,5,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,2.46,0,0,0,0.82,1.64,0,1.64,0,0.82,0,0.82,0.82,3.28,0,0,0.82,22.16,0.82,1.64,0.82,0,9.85,0,0,0.82,0,4.1,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0,0,0,6.45,0,0,0,26.59,0.81,0,0.81,0,8.06,0.81,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,12.62,0,0.57,0,0,1.72,0,0,0,0,0,0.57,0,4.02,0,0,1.15,16.64,0,0.57,0,0,1.72,0,0,0,0,2.87,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,0,14.72,0,1.96,0,1.96,0,0,0,0,0,0,0,0,7.85,0,0,0.98,22.58,0.98,0.98,0.98,0,2.94,0,0,0,0,3.93,0,0,1.96,0,0.98
 72-82,0,0,0,0,0.98,0,0,19.63,0.98,0,0,11.78,0,0,0,0,0,1.96,0,0,11.78,0,0.98,0,38.28,0,0,0,0,3.93,0,0,0,0,2.94,0.98,0,1.96,1.96,0.98
 84-94,0,0,0,0,1.06,1.06,0,7.43,0,0,0,9.56,0,0,1.06,0,0,0,0,0,11.68,0,0,0,16.99,0,1.06,0,0,4.25,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,1.09,0,3.28,1.09,0,6.56,0,0,0,4.37,0,0,0,0,0,0,0,0,3.28,0,0,0,7.65,0,0,2.19,0,5.46,0,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,0,2.3,0,0.77,8.43,0,0,0,1.53,2.3,0,0,1.53,0,0,0,0,5.36,0,0,0,16.09,0,0,0,0,5.36,0,0,0,0,0,0,0.77,1.53,0,0
120,0,0,0,0,3.92,0,0,19.6,0,0,1.96,1.96,0,0,0,7.84,0,0,0,3.92,5.88,1.96,1.96,1.96,31.36,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0
