stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,3,0,7,0,0,2,0,0,0,0,4,0,0,0,2,3,0,0,2,49,1,0,0,1,0,5,2,4,0,0,4,18,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,3.28,0,0,0.82,0,0,0,0,4.93,0,0,0.82,0,4.1,0,0,1.64,13.95,0,0,0,0,0,9.85,0,0,0,0,0,10.67,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,2.42,0.81,0,0,8.86,0,0,0,0,0,2.42,0,0,0,9.67,0,0,0.81,0,0,18.53,0.81,0,0,0,0,5.64,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0.57,0.57,0,0,0,9.75,0.57,0,0,0,0,1.15,0,0,0.57,7.46,0,0.57,0.57,0,0,23.53,0,0,0,0.57,0,4.59,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,1.96,3.93,0,0.98,0,0,0.98,17.67,3.93,0,0.98,0,0.98,5.89,0,0.98,1.96,4.91,0,0,0,0,0,50.06,0,0,0,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,2.94,0,0,2.94,0.98,0,9.82,5.89,0,0,21.6,2.94,0,0.98,0,0,22.58,0,1.96,1.96,17.67,0,0.98,0.98,0,0.98,71.66,0,0,0.98,0,0,0,0,0.98,0.98,1.96
 84-94,0,0,1.06,0,19.12,0,0,4.25,16.99,0,3.19,0,0,0,27.61,8.5,5.31,0,0,0,15.93,2.12,0,0,6.37,0,0,1.06,0,0,173.11,0,0,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,17.49,0,0,12.02,16.39,1.09,5.46,3.28,0,0,48.09,21.86,0,2.19,0,0,25.14,2.19,2.19,2.19,16.39,0,0,1.09,0,0,316.93,0,0,0,0,0,0,0,0,3.28,1.09
108-118,0,0,0.77,0,18.38,0,0.77,8.43,28.34,0.77,4.6,3.06,0,0,46.72,11.49,2.3,1.53,0.77,0.77,21.45,2.3,0,2.3,14.55,0.77,0,0,0,0,178.47,0,0,0,0,0,0.77,0.77,0.77,5.36,0.77
120,0,0,0,0,15.68,0,0,7.84,19.6,0,1.96,5.88,0,0,52.91,5.88,0,0,0,0,11.76,1.96,0,1.96,11.76,0,1.96,0,0,0,215.58,0,0,0,0,0,0,0,0,3.92,1.96
