stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,15,212,47,0,98,0,1,0,30,10,22,5,1,10,0,0,1,4,106,0,0,77,1204,48,5,10,23,0,32,7,138,21,10,180,420,0,0,12,0,1
 24-34,0.82,4.1,11.49,100.14,14.78,0,218.35,0,9.03,7.39,35.3,6.57,4.93,7.39,1.64,33.66,4.1,11.49,5.75,4.93,160.07,5.75,0.82,85.37,1952.82,11.49,34.48,18.88,0,0,114.92,0.82,1.64,8.21,2.46,46.79,504.83,0,0,56.64,0,13.13
 36-46,0,0.81,0.81,30.62,11.28,0,406.06,1.61,4.83,7.25,74.12,3.22,3.22,8.06,7.25,10.47,3.22,6.45,3.22,4.83,194.97,5.64,5.64,67.68,2110.85,12.89,28.2,15.31,0,0,107.96,0.81,0,10.47,0,0,476.15,0,0.81,31.42,0,10.47
 48-58,1.15,1.15,0.57,35,20.08,0,657.01,2.87,14.35,22.95,136.57,1.15,21.23,10.33,4.59,10.33,6.31,6.31,1.72,5.74,281.16,4.02,8.61,49.92,1645.67,8.61,25.25,17.21,0,1.15,90.09,0.57,0,7.46,0.57,0,394.2,0,1.15,24.67,0.57,16.07
 60-70,0,1.96,0,46.13,33.37,0,1034.52,2.94,18.65,14.72,159.99,3.93,12.76,9.82,8.83,10.8,4.91,4.91,0,2.94,357.27,3.93,11.78,51.04,1756.92,4.91,24.54,18.65,0.98,1.96,114.84,0.98,0,7.85,2.94,0,303.29,0,6.87,24.54,0.98,24.54
 72-82,0,8.83,0,80.5,77.55,1.96,908.04,1.96,7.85,23.56,232.65,22.58,6.87,13.74,19.63,20.61,9.82,21.6,2.94,3.93,512.43,9.82,13.74,42.21,1435.19,7.85,35.34,33.38,0,6.87,100.13,0,0,17.67,0,0,162.96,9.82,17.67,53.01,8.83,21.6
 84-94,0,5.31,2.12,103.02,71.16,1.06,648.9,4.25,16.99,19.12,160.37,49.92,8.5,12.74,30.8,46.73,13.81,13.81,6.37,6.37,324.98,10.62,10.62,36.11,793.34,9.56,24.43,32.92,0,2.12,321.8,0,0,23.36,2.12,0,97.71,16.99,15.93,49.92,20.18,36.11
 96-106,0,6.56,0,121.31,92.89,2.19,490.69,7.65,17.49,17.49,179.23,48.09,2.19,12.02,40.44,46.99,12.02,22.95,8.74,5.46,342.06,7.65,12.02,42.62,622.92,4.37,42.62,41.53,0,5.46,263.38,1.09,0,8.74,1.09,0,48.09,21.86,8.74,36.06,10.93,31.69
108-118,0,6.89,0.77,113.36,85.02,9.19,401.36,3.06,19.15,15.32,156.26,45.96,0.77,6.89,44.43,43.66,19.15,13.79,10.72,9.96,291.07,5.36,6.89,43.66,801.2,9.96,30.64,43.66,0,3.83,203.75,0.77,0,7.66,2.3,0,44.43,24.51,7.66,55.15,6.89,36.77
120,1.96,3.92,0,121.51,119.55,3.92,323.36,5.88,21.56,13.72,156.78,33.32,1.96,11.76,33.32,21.56,17.64,3.92,3.92,1.96,227.34,3.92,13.72,19.6,772.16,15.68,25.48,43.12,0,5.88,152.86,0,0,23.52,0,0,31.36,7.84,7.84,39.2,7.84,25.48
