stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11,0,1,8
 24-34,0,0,0,0,0.82,0,0.82,0,0,0.82,69.77,1.64,0,28.73
 36-46,0,0,0,0,3.22,0,1.61,0,1.61,0,158.72,2.42,0,41.89
 48-58,0,0,0,0.57,6.31,0,2.3,0,3.44,0,121.07,1.15,0,38.44
 60-70,0,0,0,0,4.91,0,0.98,0,6.87,0,116.8,0,0,19.63
 72-82,0,0,0,0,11.78,0,4.91,0,1.96,0,67.73,0,0,6.87
 84-94,0,0,0,0,10.62,0,0,1.06,2.12,1.06,31.86,0,0,7.43
 96-106,0,1.09,0,0,4.37,0,1.09,0,0,0,20.76,0,0,1.09
108-118,0,0,0,0,3.06,0.77,0.77,0,1.53,0,23.74,0,0,0.77
120,0,0,0,0,5.88,0,3.92,0,0,0,31.36,0,0,1.96
