stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,15,0,0,0,0,3,0,1,19,0,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,7.39,0,0,4.93,113.28,4.1,0.82,0,0,10.67,0,0,50.07,0,0,1.64,0,0
 36-46,0,0,0,0,0,10.47,0,0,2.42,0.81,0,0,0,0,0,0,0.81,7.25,0,0.81,4.83,599.42,4.03,0,0,0,8.06,0,0,148.24,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,31.56,0,2.3,5.74,0,0,0,0,0,0,0,0,4.02,0,0,0.57,651.84,1.15,0.57,0,0,2.87,0,0,113.04,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,109.93,0.98,0.98,8.83,0,0,0,0,0,0,0,0,7.85,0,0,0.98,1290.7,2.94,0.98,0,0,0.98,0,0,160.97,0,0,0,0.98,0
 72-82,0,0,1.96,16.69,0.98,150.19,1.96,0,14.72,0.98,0.98,0,0.98,0,0.98,0.98,0,26.5,0.98,1.96,1.96,1468.57,3.93,1.96,0,0.98,0,0,0,146.27,0.98,0.98,0,0,1.96
 84-94,0,0,1.06,10.62,1.06,144.44,0,1.06,19.12,1.06,0,0,0,0,0,0,1.06,24.43,0,2.12,1.06,806.09,4.25,4.25,0,0,4.25,0,0,84.96,1.06,1.06,2.12,2.12,1.06
 96-106,0,0,1.09,5.46,0,99.45,0,1.09,17.49,3.28,0,0,3.28,0,1.09,0,0,20.76,0,0,0,544.24,2.19,7.65,0,2.19,4.37,0,0,38.25,0,0,0,0,1.09
108-118,0,0,0.77,9.96,0.77,97.28,1.53,0.77,11.49,2.3,0,0,1.53,0,0,0.77,0,16.85,0,0.77,2.3,957.45,1.53,7.66,0,0,3.83,0,0,33.7,1.53,0,2.3,0,1.53
120,0,0,1.96,11.76,0,66.63,1.96,0,5.88,1.96,0,0,1.96,1.96,0,0,0,15.68,0,1.96,1.96,1017.13,0,3.92,0,0,1.96,1.96,0,41.16,0,0,1.96,0,0
