stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,66.09,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,16,10,0,4,0,0,0,13,1,1,3,0,1,0,0,0,0,11,0,0,3,181,8,3,4,5,1,0,29,8,10,13,89,0,0,1,0,0
 24-34,0,0,3.28,0.82,6.57,0,0,23.8,0.82,0.82,0,11.49,0.82,0,0.82,0.82,0,0.82,0,0,0,16.42,0,0,6.57,247.08,4.1,9.03,4.93,0,4.93,0,0,1.64,0.82,1.64,78.8,0,0,8.21,0,0
 36-46,0,0,0,0.81,4.83,0,0,57.2,0,0,0,16.11,0.81,0,1.61,0.81,0,0.81,0,0,0,16.92,0,0,4.83,161.94,2.42,9.67,1.61,0,2.42,0,0,0,0,0,40.28,0,0,0.81,0,0
 48-58,0,0,0.57,0,3.44,0,0,88.94,0,0,0,6.31,0.57,0,1.72,1.15,0,0,0.57,0,0,24.1,0,0.57,4.02,118.78,2.3,10.9,1.72,0,0,0,0,0,0,0,28.12,0,0,1.72,0,0
 60-70,0,0,0.98,0,8.83,0.98,0,98.15,0,0.98,0,16.69,0,0,0,0,0,0,0.98,0.98,0,15.7,0,0.98,3.93,102.08,0,2.94,1.96,0,1.96,0,0,0.98,0,0,10.8,0,0,0.98,0,0
 72-82,0,0,0,0,6.87,0,0,68.72,0,0,0,13.74,1.96,0,0,2.94,2.94,0.98,0.98,0.98,0,36.32,0.98,0.98,2.94,109.95,2.94,9.82,4.91,0,3.93,0,0,1.96,0,0,7.85,1.96,0,0.98,0,0
 84-94,0,0,4.25,0,8.5,0,0,65.85,1.06,1.06,1.06,22.3,4.25,0,0,6.37,1.06,1.06,2.12,1.06,1.06,15.93,0,5.31,4.25,58.41,3.19,5.31,8.5,0,5.31,0,0,0,0,0,4.25,3.19,0,2.12,3.19,0
 96-106,0,0,1.09,0,10.93,2.19,0,51.36,1.09,2.19,0,13.11,6.56,0,0,15.3,0,0,3.28,0,0,25.14,0,0,2.19,53.55,1.09,10.93,7.65,0,1.09,0,0,0,0,0,4.37,1.09,0,0,1.09,0
108-118,0,0,3.06,0,18.38,1.53,0.77,40.6,0,1.53,0,15.32,1.53,0,0,13.79,0,1.53,1.53,0,0,24.51,1.53,0,1.53,65.11,0,7.66,8.43,0,0,0.77,0,0,0,0,3.06,1.53,1.53,4.6,0,0.77
120,0,0,1.96,0,3.92,3.92,0,45.08,0,0,0,9.8,0,0,1.96,21.56,1.96,0,3.92,0,0,5.88,0,0,1.96,60.75,1.96,9.8,1.96,0,3.92,0,0,1.96,0,0,3.92,1.96,0,3.92,1.96,0
