stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,9.44,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,78,0,0,1,0,0,0,0,0,0
 24-34,0,0,4.1,0,0.82,0,0,0,0,0,0,0,0,8.21,0,1.64,0,0.82,6.57,0,0,16.42,0.82,0,0,219.99,0,0,0.82,3.28,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,0,1.61,0,0.81,0,0,0,0,0.81,0,0,0,0.81,12.09,0,0,19.34,0,0,0,140.99,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,4.02,0,1.15,0.57,0.57,0,0,0,0,0,0,1.72,0,0,0,1.15,8.03,0,0,12.62,0.57,0,0,106.15,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,5.89,0,1.96,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0,0,9.82,0,0,10.8,0,0,0,99.13,0.98,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,13.74,0,8.83,0.98,1.96,0.98,3.93,0.98,0,0,0,7.85,0,4.91,0,0.98,33.38,0,0,18.65,0.98,0.98,0,192.41,0,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,9.56,0,2.12,0,2.12,0,1.06,0,0,0,2.12,4.25,0,3.19,0,0,23.36,0,0,5.31,0,0,0,369.59,0,0,0,0,0,0,0,0,0
 96-106,0,0,31.69,1.09,8.74,1.09,7.65,0,5.46,3.28,0,1.09,1.09,12.02,1.09,3.28,2.19,4.37,29.51,1.09,0,10.93,0,1.09,0,526.75,0,0,0,1.09,0,1.09,0,2.19,0
108-118,0,0,29.11,0,0.77,0,4.6,0,2.3,3.83,0,0,0,13.02,0,1.53,0.77,2.3,29.87,0,0.77,7.66,0.77,0,0,252.77,0,0,0,0,0.77,0,0,0,0.77
120,0,0,17.64,0,0,0,5.88,0,0,3.92,0,0,0,9.8,0,1.96,0,0,7.84,0,0,9.8,0,1.96,0,254.77,0,0,0,0,1.96,0,0,0,0
