stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,9,104,22,0,25,0,0,0,5,4,4,3,0,3,0,0,5,1,26,0,0,18,321,50,4,3,10,0,59,2,39,7,7,67,146,0,0,8,0,0
 24-34,2.46,2.46,68.95,2.46,0,100.97,0.82,10.67,6.57,16.42,0.82,1.64,4.93,1.64,4.93,1.64,2.46,2.46,5.75,109.17,3.28,2.46,53.36,838.09,29.55,9.03,16.42,0,0,153.5,0.82,1.64,9.03,6.57,21.34,219.99,0,0,50.07,0,4.1
 36-46,1.61,0,32.23,0,0,261.04,3.22,7.25,6.45,45.92,0.81,0.81,5.64,3.22,3.22,0,2.42,0.81,10.47,123.27,1.61,1.61,35.45,1152.91,13.7,10.47,2.42,0,0,95.07,2.42,0,2.42,1.61,0.81,252.98,0,0,32.23,0,4.83
 48-58,0,1.15,25.82,1.15,0,386.74,7.46,8.61,13.2,100.99,1.15,0,4.59,4.02,2.3,1.72,3.44,2.3,8.61,200.83,1.72,4.02,37.3,885.95,8.61,2.87,10.33,0,0,79.76,0.57,0,2.87,0.57,0.57,196.24,0,1.15,29.84,0,9.75
 60-70,0.98,0,42.21,1.96,0,616.4,12.76,15.7,10.8,115.82,6.87,0,8.83,9.82,3.93,9.82,2.94,4.91,5.89,293.48,1.96,6.87,31.41,983.48,9.82,6.87,4.91,0,0.98,81.47,0.98,0,1.96,1.96,0,132.51,0.98,6.87,27.48,1.96,2.94
 72-82,3.93,0,42.21,18.65,0,451.56,6.87,10.8,10.8,111.91,5.89,1.96,5.89,13.74,4.91,4.91,1.96,0.98,4.91,316.1,2.94,13.74,31.41,616.48,9.82,4.91,16.69,0,0,86.39,0,0,0.98,1.96,0,61.84,1.96,10.8,57.92,11.78,6.87
 84-94,3.19,1.06,76.47,9.56,1.06,286.75,3.19,27.61,7.43,74.34,14.87,2.12,4.25,12.74,7.43,15.93,4.25,1.06,10.62,191.17,5.31,9.56,15.93,299.49,9.56,1.06,9.56,0,0,248.52,0,0,3.19,2.12,0,27.61,6.37,5.31,42.48,8.5,2.12
 96-106,3.28,0,63.39,15.3,4.37,199.99,4.37,17.49,1.09,83.06,5.46,0,2.19,20.76,8.74,7.65,4.37,4.37,6.56,138.79,6.56,6.56,24.04,236.05,9.84,13.11,9.84,0,3.28,225.13,1.09,0,1.09,0,0,12.02,2.19,10.93,62.29,10.93,5.46
108-118,0.77,0,85.79,7.66,19.15,173.11,3.83,22.98,7.66,65.87,13.02,0,1.53,22.98,16.85,16.85,1.53,6.13,9.19,111.06,6.89,4.6,17.62,271.15,4.6,9.19,13.02,0,3.06,199.92,0.77,0,5.36,1.53,0,4.6,5.36,7.66,35.23,6.13,6.89
120,0,0,143.06,9.8,9.8,170.5,9.8,37.24,5.88,64.67,17.64,0,7.84,41.16,7.84,7.84,1.96,7.84,7.84,99.95,1.96,7.84,19.6,272.41,7.84,11.76,5.88,0,3.92,219.5,0,0,9.8,0,0,15.68,3.92,3.92,43.12,9.8,5.88
