stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,21,0,1,0,0,1,16,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,77.98,0.82,4.93,0,0,0,22.16,0,0,0,0
 36-46,0,0,0,0,8.06,0,0,0,0,0,0,0.81,160.33,0,5.64,0,0,0,37.06,0,0,0,0
 48-58,0,0,1.15,0.57,11.48,0,0,0,1.15,0,0,0.57,158.37,0,4.02,0,1.15,0,22.95,0,0.57,0,0.57
 60-70,0,0,0,0,24.54,0.98,0,0,4.91,0,0,1.96,313.11,0,0.98,0.98,0.98,0,32.39,0,0.98,0,0
 72-82,0,0.98,1.96,2.94,55.95,0,0.98,0.98,2.94,0.98,0,5.89,329.84,0,0.98,0,0,0,12.76,0.98,0.98,0,0
 84-94,0,0,0,0,27.61,0,0,0,1.06,0,1.06,3.19,174.17,1.06,2.12,0,1.06,0,10.62,0,0,0,0
 96-106,0,1.09,0,0,39.34,0,0,0,9.84,2.19,0,2.19,168.3,0,1.09,0,1.09,0,5.46,0,0,0,0
108-118,0,0,2.3,0,29.87,0,0,0,3.83,0,0.77,3.83,216.77,0.77,4.6,0.77,0,0,5.36,0,0.77,0,0
120,0,0,5.88,0,31.36,0,0,1.96,3.92,1.96,1.96,5.88,270.45,0,5.88,0,0,0,5.88,0,0,1.96,0
