stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,3.28,0,23.8,0,0,0,0,0,0.82,0,0,0.82,0.82,1.64,0,0,18.88,1.64,1.64,1.64,0,0,3.28,0.82
 36-46,0,4.03,0.81,48.34,0,0,0,0,0,0,0.81,1.61,0,0,3.22,0.81,1.61,24.98,0,0,3.22,5.64,0,1.61,0
 48-58,0,16.07,0,28.69,0,0.57,4.02,0,0,0,0,1.72,0,0,4.02,0.57,0,22.95,0.57,0,0.57,1.72,0,0,1.15
 60-70,0,24.54,0,48.09,0,0,2.94,0,0,0,0,3.93,0,0,4.91,0,0,14.72,0,0,0.98,1.96,0,0,0
 72-82,0,22.58,0.98,40.25,0.98,0,3.93,0,0,0,0,3.93,0.98,0,5.89,0,0,17.67,0,0,2.94,0,0.98,0.98,0
 84-94,0,20.18,1.06,38.23,0,0,2.12,1.06,0,0,0,3.19,0,0,2.12,0,0,5.31,0,0,0,0,2.12,0,0
 96-106,0,22.95,0,21.86,0,0,1.09,1.09,1.09,0,0,0,0,0,1.09,0,0,3.28,0,0,0,1.09,2.19,1.09,0
108-118,0,16.85,0,22.98,0,0.77,2.3,2.3,0,0,0,0,0,0,4.6,0,0,5.36,0,0,0.77,0,0,0.77,0
120,0,15.68,3.92,19.6,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0
