stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,4,0,24,1,2,1,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0.82,14.78,0,4.1,0.82,0,0.82,0,0,0.82,2.46,0,6.57,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,1.61,0,0,16.92,0,4.03,0,0,4.03,0,0,0,2.42,0,4.03,0,0.81
 48-58,0,0,0,0,5.16,0,0,13.2,0,0.57,0.57,0,0,0,0,3.44,0,0,22.38,0,2.3,4.02,0,1.15,0,0,0,3.44,0,3.44,0,0.57
 60-70,0,0,0,0,4.91,0,0,53,0,0.98,3.93,0,2.94,0,0.98,7.85,0,0,44.17,0,1.96,9.82,0,0.98,0,0,0,0,0,6.87,0,2.94
 72-82,0.98,0.98,0,0,6.87,0,0,168.85,0,2.94,8.83,0,3.93,0.98,0,13.74,0,0,56.94,0,0.98,16.69,0,0,0,0,0,0.98,0.98,8.83,0.98,1.96
 84-94,0,1.06,0,0,11.68,0,0,135.94,0,0,4.25,0,1.06,1.06,0,11.68,2.12,1.06,33.99,0,1.06,11.68,0,1.06,0,0,0,0,0,12.74,0,1.06
 96-106,0,7.65,2.19,0,18.58,1.09,1.09,249.17,2.19,2.19,7.65,0,0,0,1.09,10.93,1.09,0,40.44,0,0,24.04,0,2.19,0,0,0,0,0,12.02,2.19,4.37
108-118,0,0.77,0,1.53,5.36,0,0.77,208.34,0.77,0,6.13,0.77,1.53,0,0,8.43,0,1.53,27.57,0,0,23.74,0,1.53,0,0,0,0,0,8.43,0,2.3
120,0,1.96,1.96,0,11.76,0,1.96,225.38,0,1.96,3.92,0,0,0,0,7.84,0,0,27.44,0,0,7.84,0,0,0,0,0,0,1.96,13.72,0,0
