stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1950.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,1299.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,12.26,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,21.03,0,21.03,0,0,0,39.43,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,339.1,15.77,0,0,141.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,25.18,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,47.2,3.15,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,5,3,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,39,1,0,0,0,2,10,1,0,19,10,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,9.03,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,4.1,0,0,0.82,46.79,1.64,5.75,0.82,0,1.64,0,0,0,5.75,14.78,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,8.06,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0.81,47.53,2.42,3.22,1.61,0,0.81,0,0,0,0,6.45,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,8.03,0.57,0.57,0,3.44,0,0.57,0,0,0,0,0,0,0,3.44,0.57,0.57,1.15,55.09,0,1.15,0,0,0.57,0,0,0,0,5.74,0,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,0,0,21.59,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0,9.82,0,0,1.96,104.04,0,1.96,0.98,0,0,0,0,0,0,18.65,0,0.98,0,0,0
 72-82,0,0,0,0,4.91,0,0,40.25,0,0,1.96,9.82,0.98,0,0,0,0,0,0.98,0.98,0,15.71,2.94,0,0.98,106.02,0,3.93,4.91,0,0.98,0,0,0,0,9.82,1.96,0,1.96,0,1.96
 84-94,0,0,0,0,3.19,0,1.06,37.17,0,0,0,7.43,1.06,0,0,3.19,1.06,0,1.06,0,0,22.3,1.06,0,0,65.85,0,4.25,3.19,0,10.62,0,0,0,0,4.25,2.12,0,1.06,0,1.06
 96-106,0,0,0,0,2.19,0,1.09,20.76,1.09,0,1.09,7.65,1.09,0,0,3.28,1.09,2.19,0,0,0,10.93,0,1.09,0,62.29,1.09,3.28,2.19,0,9.84,0,1.09,1.09,0,3.28,1.09,0,0,1.09,0
108-118,0,0,0,0,12.26,0,0.77,39.83,1.53,0,0.77,7.66,1.53,0,1.53,1.53,0,0,1.53,0,0,14.55,2.3,0,3.83,58.21,0,4.6,3.83,0,2.3,0,0,0.77,0,2.3,0,0,0.77,1.53,0.77
120,0,0,0,0,9.8,0,1.96,35.28,1.96,0,0,5.88,1.96,0,0,1.96,0,1.96,0,0,0,5.88,0,0,3.92,84.27,0,7.84,1.96,0,1.96,0,0,0,0,3.92,3.92,0,0,0,0
