stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,3.93,1.96,0.98,0,0,0,6.87,0,0,0,0,0,0,0,0,0.98,0,0,0,6.87,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,5.89,1.96,70.68,30.43,0,1.96,0.98,17.67,25.52,0,0.98,0.98,1.96,0,0,1.96,0,27.49,0.98,0.98,0,119.76,0,1.96,1.96,0,0,10.8,0,0,0,0.98,7.85,0,0,6.87,1.96,0.98
 84-94,0,0,0,6.37,4.25,148.69,31.86,1.06,1.06,0,4.25,80.71,0,1.06,1.06,0,1.06,0,2.12,0,21.24,2.12,1.06,3.19,65.85,2.12,0,0,0,2.12,9.56,0,0,0,0,2.12,2.12,0,4.25,1.06,1.06
 96-106,0,8.74,0,96.17,73.22,314.74,215.29,2.19,17.49,9.84,75.41,108.19,1.09,13.11,26.23,16.39,8.74,10.93,39.34,1.09,206.55,6.56,15.3,33.88,540.96,4.37,16.39,17.49,0,8.74,130.05,1.09,0,2.19,1.09,16.39,7.65,2.19,46.99,15.3,12.02
108-118,0,7.66,0,137.87,55.92,650.3,445.02,6.89,30.64,15.32,148.6,75.83,0,2.3,29.87,18.38,29.87,11.49,35.23,11.49,327.83,12.26,9.96,57.45,921.45,10.72,19.15,16.09,0,5.36,190.72,0,0,5.36,3.83,19.15,7.66,9.19,33.7,9.19,32.17
120,0,3.92,1.96,141.1,54.87,295.93,268.49,5.88,23.52,13.72,105.83,41.16,0,15.68,47.03,7.84,15.68,9.8,41.16,3.92,268.49,1.96,9.8,39.2,825.07,7.84,9.8,23.52,0,9.8,97.99,0,0,11.76,7.84,29.4,7.84,9.8,39.2,13.72,11.76
