stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,118.29,5.26,0,0,52.57,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,157.35,3.15,0,0,37.76,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,1,1,10,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0.82,2.46,0,0.82,13.95,0,0,1.64,0,0,1.64,0,11.49,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0,4.03,0,0,0,0,0,0.81,0,0.81,0,0,11.28,0,0,0,0,0.81,0,0,10.47,0
 48-58,0,0,0,0,0,0,6.89,0.57,0,1.15,5.16,0,0,0,0,0,1.72,0,1.72,0,1.15,11.48,0,0,1.72,0,0.57,0.57,0,5.16,0.57
 60-70,0,0,0,0,0,0,5.89,0,0,0,2.94,0,0,0,0,0,2.94,0,3.93,0,0,6.87,0,0,6.87,0,0,0.98,0,5.89,0
 72-82,0,0,0,0,0.98,0.98,10.8,0,0.98,0,4.91,2.94,0,0,0.98,0,7.85,0,6.87,0,0.98,15.71,0,0,20.61,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,5.31,1.06,0,0,2.12,5.31,0,0,1.06,0,2.12,0,4.25,0,1.06,5.31,0,0,24.43,0,0,2.12,0,2.12,1.06
 96-106,0,0,0,0,0,1.09,6.56,0,0,2.19,3.28,6.56,0,0,0,1.09,19.67,0,4.37,1.09,1.09,10.93,0,0,41.53,0,0,2.19,0,1.09,0
108-118,0,0,0,0.77,3.83,0,1.53,0,0,0,0.77,5.36,0,0,0.77,0,6.13,0,0,0.77,1.53,9.19,0,0,21.45,0,0,0,0,0,0.77
120,0,0,0,0,3.92,0,3.92,0,0,1.96,5.88,3.92,0,0,0,1.96,5.88,0,3.92,0,1.96,13.72,0,1.96,27.44,0,0,0,0,0,0
