stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
 24-34,0,2.46,0,0.82,0,0,0,0,0,0.82,0,5.75,0,0,0,3.28,0,0,0,0
 36-46,0,2.42,0,0,0,0,0,0,0,0,0.81,6.45,0,0,0,2.42,0,0,0,0
 48-58,0,2.3,0,0.57,0,0,0,0,0,2.3,0,7.46,0,0,0,2.3,0,0,0,0
 60-70,0,15.7,0.98,1.96,0,0.98,0,0,0,7.85,0,26.5,0,0.98,0,2.94,0.98,0.98,0.98,0
 72-82,0.98,12.76,0,4.91,0,0,0,0,0,3.93,0,16.69,0,0.98,0.98,0.98,0,0,0.98,0
 84-94,1.06,6.37,0,2.12,0,0,0,1.06,0,6.37,0,4.25,0,1.06,0,0,0,0,0,1.06
 96-106,0,5.46,0,1.09,1.09,0,1.09,0,0,2.19,1.09,4.37,1.09,0,0,0,0,0,0,0
108-118,1.53,4.6,0.77,1.53,0,0,0,0,0.77,2.3,0.77,9.19,0,0,0,0,0,0,0,0
120,0,5.88,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0
