stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,9,1,0,5,0,0,1,1,0,0,0,0,0,0,0,3,0,0,6,50,1,0,0,2,0,1,23,1,1,19,30,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,10.67,0,0,1.64,0,0,0,0.82,0,0,0,0,3.28,0,0,4.1,45.15,0,0,0.82,0,0,0.82,0,0.82,0,0.82,15.6,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,0,1.61,0,0,0,0,0,0,0,0,4.83,0,0,2.42,18.53,0,1.61,0.81,0,0,0.81,0,0,0,0,13.7,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,9.75,0,1.72,1.15,0,1.15,0,0,0,0,0,0,4.59,0,0,1.15,16.64,0,1.72,0,0,0,0.57,0,0,0,0,8.61,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,0,15.7,0.98,1.96,4.91,0,0.98,0,0,0,0.98,0.98,0,13.74,0,0,1.96,10.8,0,0.98,0,0,0,0,0,1.96,0,0,3.93,0,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,8.83,0,13.74,0.98,2.94,14.72,1.96,0.98,1.96,0.98,0,0,2.94,0,20.61,1.96,0.98,1.96,19.63,0,0.98,0.98,0,0.98,0,0,0,0,0,3.93,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,6.37,0,10.62,4.25,2.12,8.5,5.31,2.12,1.06,3.19,0,1.06,2.12,0,7.43,1.06,1.06,2.12,6.37,1.06,1.06,0,0,0,1.06,0,0,0,0,8.5,0,0,2.12,0,0
 96-106,0,0,0,0,5.46,9.84,0,24.04,1.09,0,12.02,0,0,0,10.93,2.19,0,4.37,0,14.21,0,0,2.19,25.14,1.09,7.65,0,0,0,1.09,0,1.09,1.09,0,4.37,0,1.09,4.37,1.09,2.19
108-118,0,0,0.77,0,0.77,4.6,2.3,19.92,4.6,2.3,11.49,5.36,0,0,6.13,2.3,1.53,3.06,0.77,19.15,0,1.53,1.53,22.21,0,5.36,3.06,0,0.77,1.53,0,0,0.77,0,3.83,1.53,0,4.6,0.77,0.77
120,0,0,0,0,3.92,5.88,0,7.84,1.96,1.96,9.8,1.96,0,1.96,3.92,0,0,1.96,0,19.6,0,0,0,25.48,0,3.92,1.96,0,0,5.88,0,0,0,0,0,0,0,3.92,1.96,0
