stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,32,0,0
 24-34,0,0,1.64,0.82,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,164.17,0,0,0,0,0,0,90.29,0,0
 36-46,0,0,1.61,0,0,2.42,0.81,0,0,0,0,0.81,0,0,0,0,1.61,415.73,0,0,0,0,0,0,128.91,0,0
 48-58,0,0,0,1.72,0,9.75,0,0,7.46,0,0,0,0,0,3.44,0,1.72,453.88,0,0.57,0,0,0,0,127.96,0.57,0.57
 60-70,0,0,1.96,0.98,0,4.91,0,0,16.69,0,0,0,0,0,8.83,0.98,2.94,369.05,0,0,0,0,0,0,156.06,1.96,0
 72-82,0,0,0,0.98,0,12.76,0.98,0.98,18.65,0,0,0,0.98,0,6.87,0,0.98,287.63,0,0,0,1.96,0.98,0,54.97,0,0
 84-94,0,0,1.06,2.12,0,8.5,0,0,8.5,1.06,0,0,0,0,5.31,0,0,146.56,0,0,1.06,1.06,0,0,39.3,1.06,0
 96-106,0,0,0,2.19,0,7.65,0,0,8.74,1.09,0,0,0,0,3.28,1.09,0,80.87,0,0,0,2.19,0,0,15.3,1.09,0
108-118,0,0,2.3,0.77,0,4.6,0,0,8.43,0.77,0,0,0,0,3.06,0.77,0,98.04,0.77,0,0,4.6,0,0,5.36,1.53,0
120,0,0,3.92,0,0,5.88,0,0,7.84,0,0,1.96,0,1.96,0,0,0,76.43,0,0,0,3.92,0,0,3.92,1.96,0
