stage,axial,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,21.03,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,12.59,6.29,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,3,0,0,3,2,1,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,2.46,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,1.72,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0
