stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,80,0,0,0,0,0,0,10,0,0,0,0,0,23,1,15,0,0,0,0,33,1,0,0,0
 24-34,0,25.45,1.64,1.64,0.82,0,0,0,69.77,0,0.82,0,0,13.95,84.55,2.46,16.42,0,1.64,0,1.64,66.49,4.1,0,0,0.82
 36-46,0,4.03,2.42,4.83,0.81,0,0,0,55.59,0,8.06,0,0,18.53,71.7,0.81,14.5,0,0.81,0,0,3.22,1.61,0,0,0
 48-58,0,12.62,4.02,5.16,1.15,0,0,0,51.07,0,16.07,0,0,8.03,65.41,1.72,14.92,1.15,0,0,0,0,2.3,0,0,0
 60-70,0,6.87,1.96,4.91,0.98,0,0,0,37.3,0,18.65,0.98,0,5.89,46.13,0,11.78,0.98,0,0,1.96,0,0.98,0,0,0.98
 72-82,0,2.94,2.94,0.98,0.98,0,0,0,79.51,0,25.52,0,0,11.78,65.77,0,16.69,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,4.25,8.5,0,4.25,0,0,0,89.21,0,15.93,0,0,13.81,44.61,1.06,23.36,2.12,0,0,1.06,0,0,2.12,1.06,1.06
 96-106,1.09,8.74,5.46,0,6.56,0,0,1.09,127.86,1.09,13.11,0,0,8.74,56.83,0,34.97,1.09,0,0,0,0,0,4.37,0,1.09
108-118,0.77,4.6,4.6,0,8.43,0,0,0.77,75.83,1.53,14.55,0,0.77,19.15,53.62,0.77,16.85,0,0,0,0,0,0,6.13,0,0
120,0,7.84,3.92,0,11.76,1.96,1.96,0,35.28,1.96,11.76,0,0,19.6,60.75,0,19.6,0,0,1.96,0,0,0,1.96,1.96,0
