stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,3373.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,1501.76,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,153.24,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,10.51,0,7.89,0,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,189.27,2.63,0,0,97.26,0,73.6,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,56.65,0,28.32,3.15,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,30,9,0,3,0,0,0,1,0,0,0,0,0,0,1,0,18,1,0,17,51,2,1,2,0,0,151,0,37,1,17,85,0,0,1,0,0
 24-34,0,0,0,0.82,45.15,2.46,0,3.28,0,5.75,1.64,2.46,0.82,0,0,0,0.82,0,2.46,0,28.73,0.82,0,20.52,107.53,0,9.85,2.46,0,0,274.99,0,36.12,0,1.64,150.22,0,0,3.28,0,0
 36-46,0,0,0,0,25.78,0,0,4.83,0,10.47,0,1.61,0.81,0,0.81,0,1.61,0,1.61,0,14.5,0,0,11.28,111.18,0.81,17.72,2.42,0,0,257.81,0,24.98,3.22,0,221.56,0,0,0.81,0,0
 48-58,0,0,0,0,20.08,0,0,19.51,0.57,9.18,1.15,10.9,1.15,0,2.3,0.57,0,0.57,0,1.15,12.05,1.15,0,5.16,135.42,1.15,7.46,0.57,0,0,158.37,0,14.35,0.57,0,164.68,0,0,0,0,0
 60-70,0,0,0,0,37.3,0,0,197.29,0.98,19.63,0.98,24.54,3.93,0,4.91,0,0.98,1.96,0.98,0,18.65,0,1.96,2.94,164.9,0,7.85,2.94,0,0,224.77,0,21.59,0,0,118.76,0.98,0.98,0,1.96,0
 72-82,0,0,0,0,53.99,1.96,0.98,411.32,0,14.72,0,32.39,13.74,0,5.89,0.98,3.93,4.91,0,0.98,43.19,1.96,6.87,17.67,202.22,0,10.8,5.89,0,0,200.26,0,22.58,0,0,103.07,0.98,2.94,0.98,14.72,0
 84-94,0,0,0,0,86.03,0,0,246.39,0,38.23,0,33.99,37.17,0,0,0,5.31,11.68,1.06,0,14.87,2.12,4.25,30.8,134.88,0,11.68,10.62,0,0,566.07,0,30.8,0,0,39.3,5.31,4.25,3.19,15.93,0
 96-106,0,0,0,0,114.75,2.19,0,227.31,1.09,42.62,0,38.25,68.85,0,5.46,2.19,12.02,8.74,3.28,3.28,36.06,8.74,2.19,26.23,120.21,0,19.67,7.65,0,1.09,617.46,0,31.69,0,0,26.23,6.56,0,2.19,26.23,1.09
108-118,0,0,1.53,0.77,137.87,1.53,4.6,163.15,0,52.09,2.3,43.66,72.77,0,4.6,2.3,14.55,10.72,0.77,0,22.21,6.13,1.53,39.06,124.09,0,15.32,6.89,0,1.53,372.26,0,16.85,0,0,20.68,10.72,0.77,0.77,23.74,0
120,0,0,0,0,139.14,1.96,0,90.15,0,33.32,0,78.39,56.83,0,5.88,3.92,15.68,11.76,0,0,19.6,13.72,0,37.24,150.9,0,15.68,9.8,0,0,272.41,1.96,23.52,0,0,35.28,3.92,1.96,0,48.99,0
