stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,4,0,0,0,0,0,0,0,0,3,0,2,40,0,0,0,0,3,10,5,0
 24-34,0,0,0.82,4.1,0,4.93,0,0.82,0,0.82,0,0,0,0,7.39,0,2.46,33.66,0,0,1.64,2.46,0,1.64,11.49,1.64
 36-46,0,0,0,1.61,0.81,1.61,0,0.81,0,0.81,0,0,0,0,3.22,0,2.42,20.14,0.81,0,0,2.42,0,0,2.42,0
 48-58,0,0,0,0,0,2.3,0.57,0.57,0,2.87,0,0,0,0,5.16,0,0.57,9.75,0.57,0,0,0.57,0,0,2.3,0.57
 60-70,0,0,0,2.94,0,2.94,0,0.98,0,0.98,0,0,0,0.98,9.82,1.96,0,10.8,0,0,0.98,1.96,0,0,1.96,0
 72-82,0,0,0.98,1.96,0,3.93,0,0,0,5.89,0.98,0.98,0,0.98,10.8,0,1.96,6.87,0,0,0,0.98,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,3.19,0,0,0,7.43,0,0,0,0,1.06,1.06,0,7.43,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,1.09,0,7.65,1.09,0,5.46,0,1.09,1.09,0,0,0,0,1.09
108-118,0,0,0,1.53,0,0.77,0,0,0.77,0.77,0,0,0,0,4.6,0,2.3,4.6,0,0,2.3,0.77,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,5.88,0,1.96,0,0,0,0,1.96,0,0,0,1.96
