stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,0
 24-34,0,1.64,0,0,0,0,0.82,0,3.28,0,1.64,1.64,0,0,0,0.82,0,41.04,0
 36-46,0.81,0,0.81,0,0,0,0,0,4.83,0,0,0,0,0,0,1.61,0,42.7,0
 48-58,0.57,0.57,0.57,0,0,0,2.87,0,6.31,0.57,1.15,1.15,0,0,0,1.15,1.15,30.41,0
 60-70,0,0.98,0,0.98,0,0,1.96,0.98,7.85,0,2.94,1.96,0,0,0,0,0.98,28.46,0
 72-82,0,0,0,0.98,1.96,0,0.98,0,7.85,0.98,0,1.96,0,1.96,0,0,0.98,42.21,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,12.74,1.06,0,0,0,1.06,0,0,0,41.42,1.06
 96-106,0,1.09,1.09,1.09,2.19,0,1.09,0,8.74,3.28,1.09,1.09,0,0,1.09,1.09,0,42.62,1.09
108-118,0.77,0,0.77,0,0,0,1.53,0,3.06,0.77,0,2.3,0,0.77,0,0,0.77,37.53,0.77
120,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,13.72,0
