stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,1792.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,42.91,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,8,1,0,0,0,1,1,3,0,1,8,0,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,9.85,0,0,0,0,2.46,0,0,0,0,2.46,0,0,0.82,0
 36-46,0,0,0,1.61,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,7.25,0,0,0,0,3.22,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,36.72,0,0,0,0.57,0,0,0,0,0,0.57,0,0,2.3,0,0.57,0,6.89,0,1.15,0,0,2.3,0,0,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,0.98,0,325.87,0,0,0,4.91,0,0,0,0,2.94,0,0,0,2.94,0,0,0,9.82,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.87,0,586.05,0,0,0.98,23.56,0,0,0.98,1.96,0,0.98,0,0,10.8,0,0,0,34.36,0,3.93,0,0,2.94,0,0,0,0,2.94,0,0,0,1.96
 84-94,0,0,0,3.19,0,332.42,0,2.12,0,18.05,0,0,0,0,0,0,0,0,11.68,0,0,0,41.42,1.06,4.25,0,0,2.12,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,4.37,1.09,362.83,0,1.09,0,14.21,1.09,2.19,0,0,0,0,0,0,18.58,0,1.09,2.19,24.04,0,7.65,0,1.09,3.28,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0,6.89,0.77,217.53,0.77,0.77,0,6.89,0,0,0.77,1.53,0,0,2.3,0.77,7.66,0.77,0,0,19.15,0,5.36,0,0,3.83,0,0,0.77,0,0,0.77,0,0,0.77
120,0,0,0,7.84,0,160.7,0,0,0,0,0,0,0,1.96,0,0,0,0,5.88,0,0,0,29.4,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0
