stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,39.53,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,392.3,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,24.52,0,0,0,0,0,0
  7-9,10.51,0,5.26,0,0,10.51,0,0,7.89,0,0,0,0,86.75,2.63,0,0,44.69,0,5.26,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,3.15,0,0,3.15,0,0,0,0,72.38,3.15,0,0,25.18,0,0,6.29,0,0,0
 14-21,0,0,0,2,0,1,0,1,0,0,6,0,0,9,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,3.28,0.82,0.82,4.93,0,0,0.82,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,5.64,0,0.81,8.06,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,4.59,0,1.15,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,2.94,1.96,0,0.98,5.89,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0.98,0,0,0.98,1.96,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,3.19,1.06,0,0,4.25,0,0,1.06,0,1.06,0,0,0,4.25,0
 96-106,0,0,0,0,0,1.09,0,0,0,2.19,3.28,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,5.36,3.06,0,0.77,2.3,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,1.96,0,3.92,0,0,0,11.76,5.88,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0
