stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,7,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,6.57,0.82,0,0.82,0,14.78,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,2.42,0,0,0,0,0,0.81,0,1.61,4.83,0,0,0,0,33.03,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,0.57,0,0,0,0,0.57,1.15,0.57,0,10.33,0,0,0,0,10.33,0,0,0,0
 60-70,0,0,0,0,11.78,0,0.98,0.98,0,0.98,0,0,0,1.96,0,0,20.61,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,25.52,0,3.93,0.98,0,0.98,0,0.98,0.98,0,0,0.98,25.52,0,0,0.98,0,8.83,0.98,0,0,0
 84-94,0,0,0,0,22.3,1.06,1.06,2.12,0,0,0,0,0,4.25,0,0,23.36,0,0,1.06,0,5.31,0,0,0,0
 96-106,0,0,0,0,16.39,0,1.09,3.28,0,0,0,0,2.19,2.19,0,0,28.41,0,0,0,0,3.28,0,1.09,2.19,0
108-118,0,0,0,0,13.02,0,0,0.77,0,0,0.77,0,0.77,0,0,0,22.98,0.77,0,0.77,0,0,0,0.77,0,0.77
120,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,1.96,29.4,0,0,1.96,0,1.96,0,0,0,0
