stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,465.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,15.77,0,0,0,34.17,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,333.85,5.26,0,0,168.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,18.88,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,220.29,0,0,0,103.85,0,0,3.15,18.88,0,6.29,0,0,0,0
 14-21,0,1,5,114,25,0,19,0,1,0,9,4,2,1,0,3,0,0,0,1,38,0,0,22,196,9,2,12,23,7,1,114,21,4,86,90,0,1,0
 24-34,0,0,1.64,12.31,2.46,0,8.21,0,0,0,4.1,1.64,0,0,0,0,0,1.64,0,0,9.85,0,0.82,4.1,43.51,0.82,1.64,1.64,0,18.06,0,0,1.64,0.82,2.46,16.42,0,3.28,0
 36-46,0,0,0,2.42,0,0,8.86,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,4.83,1.61,0,2.42,15.31,0,2.42,3.22,0,19.34,0,0,3.22,0,0,4.03,0,0,0.81
 48-58,0,0,0.57,6.31,0,0,8.61,0,0,0,2.3,0.57,0,0,0,0.57,0,2.3,0.57,0,3.44,0,0,1.72,13.2,0,0.57,2.87,0,10.33,0,0,1.15,0,0,2.87,0,2.87,0
 60-70,0,0,0,5.89,0.98,0,15.7,0.98,0.98,0,0.98,1.96,1.96,0,0.98,0.98,0,0.98,1.96,0,3.93,0,0,0,10.8,0,0,0.98,0,14.72,0,0,0.98,0,0,1.96,0,0,0.98
 72-82,0,0,0,4.91,0.98,0,5.89,0,0,0,1.96,3.93,0,0,0,0.98,0,0,0.98,0,7.85,0,0,0.98,6.87,0,0.98,3.93,0,12.76,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,12.74,2.12,0,8.5,0,1.06,0,1.06,2.12,2.12,0,1.06,1.06,0,1.06,1.06,0,3.19,1.06,0,0,7.43,0,0,3.19,0,18.05,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,7.65,0,3.28,12.02,0,0,1.09,0,5.46,0,0,0,1.09,0,4.37,2.19,0,2.19,0,0,0,3.28,0,0,5.46,0,6.56,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,11.49,2.3,1.53,3.83,0,0.77,0,0,3.83,0,0.77,0,0,1.53,3.06,1.53,0,2.3,0.77,0,0.77,6.13,0,0.77,6.13,0,16.09,0,0,1.53,0,0,0.77,0.77,0.77,0.77
120,0,0,1.96,5.88,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,5.88,0,1.96,5.88,0,9.8,0,0,1.96,0,0,0,0,1.96,0
