stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,16,5,0,6,0,0,0,1,2,1,0,3,0,0,0,0,11,0,0,14,69,2,1,0,1,0,21,0,6,6,0,6,31,0,0,1,0,0
 24-34,0,0,0,10.67,0,0,18.88,0,1.64,0,5.75,0,1.64,0,3.28,0,0.82,1.64,0,22.98,0.82,0,14.78,104.25,3.28,2.46,2.46,0,0,139.55,0,0,12.31,0,2.46,34.48,0,0,7.39,0,0
 36-46,0,0,0,4.83,0.81,0,8.06,0,0.81,1.61,9.67,0.81,0.81,0.81,1.61,0,0,0,2.42,30.62,0,1.61,14.5,75.73,4.03,0.81,1.61,0,0,93.46,0,0,4.03,0.81,0,28.2,0,0,3.22,0,1.61
 48-58,0,0,0,5.16,0,0,18.36,0.57,1.15,2.3,28.12,1.72,1.15,0,1.72,0,1.15,0,2.3,52.22,1.15,1.15,9.75,67.14,0.57,1.15,5.16,0,0,55.66,0,0,1.72,0,0,27.54,0,0,0.57,0,1.15
 60-70,0,0.98,0,9.82,0,0,14.72,0.98,3.93,0.98,56.93,0,0.98,0,2.94,3.93,1.96,0,0.98,82.45,0.98,0.98,5.89,45.15,0.98,0.98,5.89,0,0,59.87,0,0,0.98,0,0,15.7,0.98,1.96,2.94,0.98,3.93
 72-82,0,3.93,0,18.65,0.98,0,30.43,0,2.94,4.91,71.66,10.8,0,2.94,1.96,1.96,9.82,0.98,1.96,109.95,2.94,0,6.87,78.53,0,1.96,12.76,0,2.94,70.68,0,0,3.93,0,0,18.65,1.96,2.94,8.83,1.96,2.94
 84-94,0,6.37,0,29.74,0,0,30.8,1.06,8.5,1.06,52.04,12.74,2.12,1.06,6.37,7.43,3.19,0,4.25,61.6,2.12,3.19,5.31,45.67,4.25,0,10.62,0,0,162.49,0,0,10.62,0,0,5.31,3.19,6.37,10.62,4.25,2.12
 96-106,0,5.46,0,53.55,1.09,0,32.79,0,4.37,1.09,67.76,22.95,2.19,7.65,14.21,2.19,8.74,1.09,0,78.68,6.56,5.46,7.65,51.36,0,2.19,19.67,0,0,210.92,0,0,7.65,0,0,3.28,20.76,5.46,9.84,5.46,1.09
108-118,0,3.06,0,48.26,0.77,0.77,32.17,0,7.66,5.36,57.45,23.74,0,3.83,14.55,9.19,9.19,2.3,5.36,65.87,2.3,4.6,3.06,55.15,3.06,4.6,6.13,0,1.53,146.3,0,0,4.6,0.77,0,6.13,26.04,1.53,10.72,0.77,2.3
120,0,1.96,0,62.71,1.96,0,13.72,0,9.8,3.92,45.08,23.52,0,3.92,13.72,1.96,5.88,7.84,3.92,47.03,5.88,1.96,3.92,50.95,5.88,0,15.68,0,0,121.51,0,0,11.76,0,0,3.92,13.72,0,5.88,1.96,0
