stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,8.21,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,41.04,0,0.82,0,0,0,0.82,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,26.59,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,38.67,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,2.87,0,0,403.96,0,0.57,0.57,9.18,0,0,0,0.57,0.57,0,0.57,0,13.77,0,0.57,1.72,103.86,1.72,0.57,0,0,0,0.57,0,0,0,15.49,0,0,0,0,1.15
 60-70,0,0,0,3.93,0.98,0,1777.54,0.98,1.96,1.96,33.37,0,0.98,0.98,0,0.98,0,0.98,0.98,51.04,0,0.98,5.89,235.57,0,0.98,0.98,0,0,15.7,0,0.98,0,32.39,5.89,2.94,2.94,1.96,6.87
 72-82,0,0.98,0,47.12,12.76,0,2850.75,5.89,6.87,5.89,99.15,7.85,2.94,2.94,3.93,2.94,2.94,2.94,0,100.13,1.96,4.91,13.74,429.97,1.96,6.87,8.83,0,3.93,14.72,0,0.98,0.98,26.5,43.19,4.91,13.74,2.94,9.82
 84-94,0,1.06,0,98.77,13.81,0,1803.34,5.31,11.68,7.43,121.07,14.87,3.19,13.81,5.31,8.5,0,3.19,2.12,87.09,3.19,6.37,6.37,307.99,0,5.31,8.5,0,0,29.74,0,4.25,2.12,23.36,163.55,9.56,13.81,6.37,5.31
 96-106,0,2.19,0,76.5,14.21,1.09,1762.76,3.28,10.93,0,91.8,17.49,4.37,19.67,2.19,4.37,3.28,5.46,1.09,73.22,0,5.46,6.56,246.98,3.28,8.74,9.84,0,2.19,40.44,0,2.19,1.09,5.46,234.96,3.28,10.93,2.19,14.21
108-118,0,1.53,0,31.4,6.89,2.3,1202.56,0.77,3.83,3.83,42.13,15.32,0.77,5.36,0.77,0.77,1.53,3.83,0.77,40.6,2.3,4.6,7.66,160.85,2.3,2.3,3.06,0,1.53,12.26,0,0.77,0.77,0,236.68,1.53,3.83,3.06,1.53
120,0,0,1.96,27.44,3.92,0,828.99,1.96,1.96,3.92,41.16,9.8,0,1.96,1.96,1.96,0,1.96,0,33.32,1.96,0,5.88,146.98,1.96,3.92,1.96,0,1.96,9.8,0,0,0,1.96,90.15,0,3.92,1.96,1.96
