stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,13.14,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,18.88,0,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,26,1,0,7,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,17,1,0,0,0,0,74,1,0,2,5,6,0,0,3,0,3
 24-34,0,0,0,24.63,0,0,3.28,0,0.82,0,0,1.64,0.82,2.46,3.28,0,0.82,0,4.1,13.13,2.46,0,4.93,17.24,0.82,0.82,0.82,0,0,230.66,0,2.46,0,0.82,6.57,0,0,6.57,0,11.49
 36-46,0,0,0,24.17,0.81,0,3.22,0,4.83,0,1.61,0,0,4.03,6.45,0,0.81,0,8.86,10.47,3.22,0,3.22,22.56,0,0,0,0,0,145.83,0,0.81,0.81,0,1.61,0,0,4.03,0,20.95
 48-58,0,0,0,17.79,0.57,0,8.03,0,8.61,1.72,2.3,0,0.57,4.59,1.15,0,2.3,0.57,15.49,7.46,1.72,0.57,3.44,14.35,0,0,0,0,0,102.14,0,0,0,0,1.72,0,0,5.16,0,35
 60-70,0,0,0,41.22,0,0,8.83,0,11.78,0.98,3.93,1.96,0,6.87,6.87,1.96,0.98,0,16.69,22.58,2.94,0.98,2.94,12.76,0,0,0.98,0,0,84.41,0,1.96,0,0,2.94,0,0,4.91,0,42.21
 72-82,0,0,0,35.34,0,0,4.91,0,14.72,3.93,10.8,0.98,0.98,6.87,8.83,2.94,0.98,0.98,22.58,45.16,0.98,3.93,1.96,6.87,0.98,0.98,0,0,2.94,71.66,0,0,0,0,1.96,0,0.98,14.72,0.98,37.3
 84-94,0,0,0,87.09,0,0,6.37,0,22.3,2.12,3.19,3.19,0,18.05,20.18,0,4.25,0,28.68,33.99,3.19,3.19,1.06,4.25,2.12,2.12,0,0,0,212.41,0,0,1.06,0,2.12,0,1.06,11.68,2.12,47.79
 96-106,0,1.09,0,95.08,1.09,1.09,15.3,1.09,26.23,2.19,7.65,9.84,3.28,31.69,20.76,2.19,1.09,0,26.23,40.44,4.37,5.46,5.46,29.51,0,5.46,3.28,0,1.09,167.21,0,2.19,0,0,2.19,2.19,2.19,16.39,1.09,49.18
108-118,0,0,0,147.83,0.77,0.77,9.19,0.77,42.89,1.53,4.6,9.96,0,19.15,22.98,6.13,3.06,1.53,46.72,51.32,2.3,1.53,3.83,11.49,3.06,1.53,1.53,0,0.77,144,0,3.83,0,0,0.77,5.36,0,13.79,0.77,78.13
120,0,0,0,143.06,0,0,9.8,0,39.2,0,9.8,5.88,1.96,29.4,21.56,3.92,0,1.96,11.76,58.79,1.96,0,1.96,23.52,1.96,11.76,3.92,0,1.96,146.98,0,5.88,0,0,0,3.92,0,9.8,5.88,27.44
