stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0
  7-9,2.63,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,15.77,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0,1.64,0,0.82,0.82,0,52.53,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,1.61,0,0,0,0,0,0,0,0.81,0,6.45,0,0,0,0,45.92,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0.57,0,0,0,0.57,0,0,1.72,0,0,0,0,29.26,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,5.89,0,0,0,0,1.96,0,0.98,0,0,3.93,0,0,0,0,69.69,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0.98,3.93,0,0,0,0,0,0.98,0,1.96,0.98,6.87,0,0.98,0,0,169.83,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,2.12,0,1.06,3.19,0,0,0,0,1.06,0,1.06,0,0,156.12,0,0,0,0
 96-106,0,0,0,0,12.02,0,0,3.28,0,1.09,0,1.09,2.19,0,1.09,0,0,4.37,0,0,0,0,295.07,1.09,1.09,0,1.09
108-118,0,0,0,0.77,10.72,0,0.77,2.3,0.77,0,0,3.06,3.83,0.77,0,1.53,0,3.83,0,0,0,0,155.49,0,0.77,0,0
120,0,0,0,0,21.56,1.96,0,3.92,1.96,0,0,7.84,3.92,0,0,3.92,0,1.96,0,1.96,0,0,164.62,0,0,1.96,1.96
