stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  3-4,2016.22,33247.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.07,0,0,0,0
  5-6,2537.67,34607.92,36.78,0,0,0,0,0,0,67.43,0,0,0,0,704.91,85.81,0,239.06,410.69,0,0,0,0
  7-9,168.24,344.36,131.44,0,0,1206.58,0,0,0,94.63,0,0,0,0,12744,191.9,0,2184.46,13.14,47.32,0,0,0
 10-12,0,12.59,6.29,0,3.15,129.03,0,0,0,3.15,0,0,0,0,607.37,3.15,0,22.03,0,44.06,0,0,0
 14-21,0,0,0,50,0,2,0,1,0,0,1,1,2,3,8,0,0,0,0,7,9,3,1
 24-34,0,0,0,18.88,0,1.64,0.82,0.82,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,1.61,0,1.61,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.72,0,1.15,0.57,0,5.16,1.15,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,19.63,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,0,0,23.36,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,30.6,0,0,0,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,0.77,0,1.53,0,0,0,0,26.04,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0
