stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,19,3,0,3,0,0,0,2,2,4,0,0,2,0,0,0,0,1,1,0,1,84,12,3,1,216,0,0,4,1,16,50,0,0,2,0,0
 24-34,0,0,23.8,0,0,22.16,0,0,0,7.39,0.82,0,0,0,4.93,0,0.82,5.75,0.82,5.75,4.1,0,12.31,170.74,1.64,3.28,5.75,378.41,0,0,15.6,2.46,4.93,71.41,0,0,6.57,0,0.82
 36-46,0,0,6.45,0,0,20.14,0,0.81,0.81,4.03,2.42,0,0,0.81,2.42,0,0.81,0,0,3.22,2.42,0,2.42,124.88,0.81,2.42,2.42,261.04,0,0,1.61,0.81,0,47.53,0,0,2.42,0,0.81
 48-58,0,0,6.89,1.15,0,28.69,0,3.44,1.15,13.2,2.3,0,0.57,1.72,0,0,0.57,2.3,0.57,5.74,1.15,0,1.15,94.68,2.3,1.72,6.89,200.26,0,0,1.15,0,0,35,0,0,1.15,0,1.15
 60-70,0,0,5.89,0,0,48.09,0.98,2.94,0.98,7.85,2.94,0,0,0.98,0,0,3.93,2.94,0,13.74,3.93,0.98,2.94,109.93,4.91,1.96,6.87,192.38,0,0,2.94,1.96,0,18.65,0,0,4.91,0,0
 72-82,0.98,0,16.69,4.91,0,52.03,0,0.98,0.98,23.56,29.45,0.98,0,4.91,6.87,0,8.83,29.45,0,33.38,3.93,2.94,1.96,133.51,0.98,1.96,22.58,208.11,0,0,3.93,0,0,12.76,0.98,0.98,1.96,0,0.98
 84-94,3.19,0,27.61,10.62,3.19,67.97,0,4.25,3.19,15.93,30.8,0,0,2.12,10.62,0,5.31,93.46,0,22.3,5.31,0,1.06,58.41,4.25,7.43,33.99,478.98,0,0,5.31,1.06,0,10.62,0,0,1.06,1.06,0
 96-106,0,0,40.44,14.21,9.84,56.83,0,9.84,2.19,18.58,71.04,0,0,3.28,6.56,1.09,13.11,265.56,0,40.44,13.11,1.09,10.93,89.61,3.28,4.37,46.99,375.94,0,0,5.46,2.19,0,5.46,1.09,0,10.93,2.19,0
108-118,1.53,0,39.83,3.83,6.89,52.85,0,10.72,3.83,16.85,56.68,0,0.77,6.13,7.66,0.77,7.66,386.05,0.77,32.17,6.13,1.53,3.83,78.13,6.89,1.53,32.17,265.02,0.77,0,5.36,0,0,8.43,4.6,0,6.13,0.77,2.3
120,0,0,25.48,9.8,3.92,27.44,0,5.88,0,9.8,56.83,0,0,3.92,0,0,5.88,237.13,0,27.44,11.76,0,5.88,56.83,0,1.96,19.6,145.02,0,1.96,3.92,0,0,0,0,0,5.88,1.96,0
