stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1449.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,28.32,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,3,1,0,0,0,2,0,1,0,0,0,0,0,0,12,0,0,8,25,1,0,6,11,0,1,1,12,6,1,34,11,0,0,6,0,2
 24-34,0,0,0,4.93,0.82,4.93,0,0,0,0.82,0.82,0,0,0.82,0.82,0,0,4.1,7.39,0,0,12.31,21.34,0,0,1.64,0,0,0.82,0,0,15.6,0.82,3.28,5.75,0,0,4.1,0,0
 36-46,0,0,0,4.83,0,1.61,0.81,0,0.81,0,0.81,1.61,0,0,0,0,0,0,8.86,0,0.81,8.86,10.47,0,2.42,0.81,0,0,2.42,0,0,4.83,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,2.3,0,1.15,0,2.3,0,0,0,0,0,0,0,0,13.2,0,0,5.16,2.87,0,0.57,0,0,0,0.57,0,0,2.3,0,0,1.15,0,0.57,0.57,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,8.83,0,0.98,0,0,0.98,0,0,0,27.48,0,0.98,3.93,2.94,0.98,2.94,0,0,0.98,0,0,0,3.93,0,0,0,0,0,7.85,0,0
 72-82,0,0,0,4.91,0,8.83,0.98,0.98,1.96,16.69,0,0,0,0,0,0,0.98,0,72.64,0,4.91,8.83,12.76,0,0.98,1.96,0,3.93,2.94,0,0,0.98,0,0,2.94,3.93,0.98,9.82,1.96,0
 84-94,0,0,0,10.62,0,8.5,1.06,3.19,0,6.37,0,0,0,0,0,1.06,0,0,60.54,0,4.25,6.37,9.56,0,3.19,1.06,0,2.12,3.19,0,0,5.31,0,0,2.12,11.68,1.06,4.25,1.06,1.06
 96-106,0,0,0,27.32,1.09,4.37,1.09,5.46,0,6.56,0,0,0,0,0,1.09,3.28,0,92.89,0,8.74,7.65,16.39,0,2.19,0,0,7.65,3.28,0,0,2.19,0,0,6.56,25.14,3.28,16.39,1.09,0
108-118,0,0,0,24.51,0.77,6.89,0,3.06,0.77,19.15,1.53,0.77,0,0,3.06,1.53,0,0.77,87.32,0.77,9.96,10.72,22.98,0,0.77,0.77,0,7.66,0.77,0,0,1.53,0.77,0,3.06,25.28,1.53,7.66,1.53,0.77
120,0,0,0,19.6,0,5.88,0,1.96,0,11.76,0,1.96,1.96,0,0,0,0,0,62.71,0,5.88,7.84,13.72,1.96,0,5.88,0,7.84,0,0,0,0,0,0,0,11.76,1.96,7.84,0,0
