stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,0,2,0,11,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,3.28,0,0,2.46,0,0,0,0,0,0.82,1.64,0,0,3.28,58.28,0,6.57,0.82,0,0,2.46,1.64,0,11.49,0,3.28,0,0
 36-46,0,0,0.81,0,0.81,0,4.83,0.81,0,5.64,0,0.81,0,0,0,0,5.64,0,0,3.22,138.58,0,4.03,0.81,0,0,0.81,0,0,30.62,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,21.8,1.15,0,13.77,0,0,0.57,0,0,0,13.2,0,0,1.72,259.36,0.57,2.3,1.15,0,0,1.15,0,0,45.9,0.57,2.3,0,0
 60-70,0,0,0,0,1.96,0,33.37,0.98,0,13.74,0.98,0,0,0,0,0,17.67,0,0,0,272.86,0,1.96,1.96,0,0,1.96,0,0,31.41,0,0.98,0,0
 72-82,0,0,2.94,0,3.93,0,67.73,0,0.98,22.58,0.98,0.98,0,0,0,0,29.45,0.98,0.98,0.98,293.52,0,5.89,3.93,0,0,1.96,0,0,24.54,1.96,2.94,0,0
 84-94,0,0,1.06,0,7.43,0,46.73,2.12,2.12,14.87,2.12,0,0,1.06,0,0,20.18,0,2.12,2.12,140.19,0,1.06,2.12,0,0,4.25,0,0,16.99,2.12,4.25,0,0
 96-106,0,0,0,0,5.46,1.09,40.44,0,0,9.84,1.09,1.09,0,1.09,1.09,0,19.67,0,1.09,2.19,137.7,0,7.65,5.46,0,0,3.28,0,1.09,8.74,1.09,4.37,2.19,2.19
108-118,0,0,0.77,0,7.66,0,17.62,0,0.77,5.36,0.77,0,1.53,2.3,0,0,16.85,0,0,0.77,132.51,0,6.13,2.3,0,0.77,0.77,0,0,2.3,0,4.6,0.77,0
120,0,0,1.96,0,3.92,0,15.68,0,5.88,5.88,1.96,0,3.92,0,0,0,13.72,0,1.96,0,113.67,0,0,1.96,0,0,0,0,0,3.92,0,1.96,1.96,0
