stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,28,0,1,2,1,0,3,0,0,8,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,0,1.64,0,0,0,0.82,0,0,0,2.46,0,0,5.75,123.95,0,2.46,0,0,0,0,0,0.82,32.83,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,12.09,0,0,0,4.83,0,0,0,0,0,0,0,4.83,0,0,0,316.63,0.81,1.61,0,0,0,2.42,0,0,64.45,0,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,48.77,0,0,0.57,8.03,0,0,0,0,0,0.57,0,5.74,0,0,1.72,574.38,0,1.15,1.15,0,0,2.3,0,0,100.42,0,0,0.57,0,0
 60-70,0,0,0,2.94,0.98,0,169.8,0,0,0.98,13.74,0,0,0,0,0,0,0,10.8,0,0,0.98,1316.22,0.98,1.96,0.98,0,0,0.98,0,0,185.51,0,0,0,0,0
 72-82,0,0,0,7.85,0.98,0,263.09,0.98,0.98,0,27.49,0.98,0,0,0,0.98,1.96,0,24.54,0,0.98,2.94,1351.75,0,2.94,0.98,0,0.98,3.93,0,0,110.93,0.98,0,0.98,0.98,1.96
 84-94,0,0,0,6.37,1.06,0,202.85,0,1.06,0,30.8,0,0,2.12,0,0,0,2.12,22.3,0,1.06,0,735.99,0,4.25,1.06,0,0,0,0,0,69.03,0,1.06,1.06,2.12,0
 96-106,0,0,0,13.11,4.37,1.09,181.41,0,1.09,1.09,31.69,0,0,3.28,0,2.19,0,1.09,15.3,0,2.19,1.09,685.21,0,6.56,1.09,0,1.09,4.37,0,0,43.71,1.09,0,3.28,0,0
108-118,0,0,0,16.85,0.77,0,170.04,0,0.77,0.77,30.64,0.77,0.77,0.77,0.77,0.77,0,0,14.55,0,0.77,3.06,801.2,0.77,3.06,0,0,0,3.83,0,0,28.34,0,0,1.53,0,0
120,0,0,0,13.72,9.8,0,184.22,0,0,0,45.08,1.96,0,5.88,0,0,1.96,0,15.68,3.92,0,0,1038.69,0,11.76,1.96,0,1.96,1.96,0,0,43.12,0,0,0,0,0
