stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,25.18,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,9.44,0,25.18,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,61,1,0,7,0,0,0,1,3,9,0,0,3,0,1,0,7,1,0,1,104,1,1,0,0,0,85,0,9,3,0,5,11,0,0,0,0,0
 24-34,0,0,0,7.39,0,0,6.57,0,0.82,0,0,0.82,0.82,0,0.82,1.64,0.82,0.82,0,11.49,4.1,0,3.28,146.93,0.82,2.46,4.1,0,0,49.25,0,0,1.64,0,0.82,27.09,0,0,0.82,0,0
 36-46,0,0,0,4.03,0,0,6.45,0,2.42,0,2.42,0.81,0,0,0.81,0,1.61,0,0,8.86,0.81,0,2.42,258.62,0.81,0,0,0,0,29,0.81,0,0.81,0,0,24.17,0,0,0.81,0,0
 48-58,0,0,0,5.16,0,0,20.66,0,1.15,0,25.25,1.15,0.57,0,1.72,0.57,1.15,1.15,2.3,15.49,2.3,0,1.72,305.26,0,2.3,0.57,0,0.57,27.54,0,0,0.57,0,0,24.67,0,0.57,1.72,0,0.57
 60-70,0,0,0,9.82,0,0,114.84,0.98,0,1.96,56.93,3.93,0,0,1.96,0.98,4.91,0.98,0.98,27.48,1.96,0,2.94,570.26,0,0.98,1.96,0,0,25.52,0,0,0.98,0,0,69.69,0,0,1.96,0,0.98
 72-82,0,0,0,9.82,1.96,0,111.91,0,1.96,0.98,73.62,2.94,0.98,0,0,2.94,2.94,0.98,1.96,40.25,4.91,0.98,8.83,368.12,0,0,1.96,0,0.98,20.61,0,0,0,0.98,0,25.52,2.94,0,0.98,1.96,0.98
 84-94,0,0,0,11.68,0,0,54.16,0,2.12,2.12,32.92,9.56,1.06,0,0,2.12,0,2.12,5.31,27.61,1.06,1.06,3.19,154,0,0,4.25,0,0,64.78,0,0,0,0,0,11.68,2.12,0,4.25,0,0
 96-106,0,0,0,25.14,0,1.09,30.6,1.09,0,2.19,30.6,9.84,0,2.19,3.28,1.09,6.56,4.37,0,21.86,5.46,1.09,4.37,131.14,0,2.19,1.09,0,1.09,52.46,0,0,1.09,0,0,5.46,3.28,0,1.09,1.09,0
108-118,0,0,0,18.38,0.77,0.77,26.04,0,3.06,0.77,37.53,12.26,0,0,0.77,3.06,0.77,1.53,3.06,12.26,4.6,0,1.53,169.28,0,1.53,1.53,0,0,33.7,0,0,1.53,0,0,3.06,3.06,0,1.53,0.77,0
120,0,0,0,31.36,0,0,23.52,0,1.96,0,48.99,1.96,0,0,9.8,1.96,0,0,0,9.8,1.96,1.96,1.96,180.3,0,1.96,0,0,0,48.99,0,0,0,0,0,7.84,1.96,0,1.96,0,0
