stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,1054.23,16169.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.63,0,0,0,0,0,0
  5-6,496.5,4474.63,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,122.59,0,0,0,12.26,134.85,0,0,0,0,0,0
  7-9,15.77,15.77,0,15.77,0,0,13.14,0,0,0,13.14,0,0,0,0,197.15,7.89,0,0,81.49,0,68.35,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,18.88,0,0,0,0,0
 14-21,0,0,0,0,5,5,3,0,0,0,0,0,1,0,1,5,0,1,0,0,0,7,2,14,51,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,4.1,0,0.82,0,0,0.82,0,0,0,4.1,0.82,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,16.11,0.81,1.61,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,0,5.16,0.57,0.57,0.57,0,0,0,0.57,0.57,18.94,0,0.57,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,9.82,0,1.96,0,0,0,0,0,0,10.8,0,0.98,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,0,0,1.96,4.91,0.98,0.98,0.98,0,0,0,1.96,0,10.8,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,4.25,0,1.06,1.06,0,0,0,0,0,5.31,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,1.09,0,1.09,0,0,0,5.46,0,1.09,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0.77,0,0,1.53,0,0,0,0.77,0.77,3.06,0,2.3,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0
