stage,endoderm,epidermis,eye,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,2,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0,0.82,1.64,0,0,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,8.06,0,0,0,0,0,0,4.83,0
 48-58,0,0,1.15,0,0,0,0.57,0,0.57,0,8.61,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,3.93,0,0,0,0,0,0,0,9.82,0.98,0.98,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0.98,0,0,0.98,0,0,5.89,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,2.12,1.06,0,0,0,2.12,0,1.06,5.31,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0.77,2.3,0.77,0,0.77,0,3.06,0,0,6.89,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
