stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord
  3-4,92.25,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,30.65,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,31.47,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,7,3,0,0,0,1,0,4
 24-34,0,0,0,1.64,0,0,2.46,0,1.64,0,0,0,0,0,0.82,0,5.75,0.82,0,0,0.82,0,0.82,2.46
 36-46,0,0,0,0,0,0,4.83,0,1.61,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,9.67
 48-58,0,0,0,0,0.57,0,0.57,0.57,5.74,0,0,0,0,0,0.57,0,5.74,1.15,0,0,0.57,0,0,2.87
 60-70,0,0,0,0,0,0,73.61,0.98,5.89,0,0,0,0,0,0,0,3.93,0.98,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,254.25,0,11.78,0,0,0,0.98,0,3.93,0.98,9.82,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,243.21,0,4.25,1.06,0,0,0,0,2.12,0,4.25,1.06,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,0,0,237.15,0,4.37,0,0,1.09,0,0,4.37,0,2.19,3.28,1.09,0,2.19,0,0,2.19
108-118,0,0,0,0,0.77,0,159.32,1.53,3.83,0,0,0.77,1.53,0,0.77,0,5.36,2.3,0,0,0.77,0,0,0.77
120,0,0,0,0,3.92,0,162.66,0,3.92,3.92,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0
