stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,1,3,0,6,0,2,0,1,0,0,0,0,1,3,0,4,42,0,0,0,0,0,10,0,33,203,67,0,0,0,0
 24-34,0,0,4.93,0,4.1,0,1.64,0.82,0,0,1.64,0,0,3.28,2.46,0,1.64,149.4,0,4.1,0,0,0,0,0,1.64,32.01,172.38,0,0,0,0.82
 36-46,0,0,2.42,0,11.28,0.81,12.09,0,0,0,0.81,0,0,4.83,4.03,0,8.06,153.88,0,4.83,0,0,0.81,0,0,2.42,0,241.7,0,0,0,4.83
 48-58,0,0.57,0.57,0,58.53,0.57,44.76,0,0,0,0.57,0,0,5.16,4.02,0,12.62,96.4,0,2.3,1.72,0,0,0,0,1.15,0,197.39,0,0,0,6.31
 60-70,0,0,1.96,0,180.6,0.98,54.97,0,0,0.98,12.76,0,0,1.96,3.93,0,4.91,74.6,0.98,11.78,0,0,0,0,0,1.96,0,76.56,0,0,0,13.74
 72-82,0,0.98,1.96,0,183.57,0,51.05,1.96,0,0,8.83,0.98,0,0,8.83,0,8.83,82.46,0,8.83,0.98,0,1.96,0,0,0,0,25.52,0,0.98,0,12.76
 84-94,0,0,2.12,3.19,154,0,20.18,2.12,0,0,13.81,0,1.06,4.25,3.19,0,12.74,59.47,0,6.37,0,0,3.19,0,0,0,0,20.18,2.12,1.06,1.06,12.74
 96-106,0,0,2.19,0,126.77,0,22.95,5.46,0,0,8.74,0,0,0,5.46,0,6.56,53.55,0,8.74,0,0,1.09,0,0,0,0,2.19,0,1.09,0,15.3
108-118,0,0.77,2.3,1.53,137.87,0.77,25.28,3.06,0,0.77,13.79,0,1.53,0.77,5.36,0.77,10.72,72.77,0.77,10.72,0.77,0,0,0,0,0,0,3.83,0.77,0.77,0.77,22.21
120,0,0,3.92,0,62.71,0,15.68,0,0,0,5.88,0,0,1.96,1.96,0,13.72,78.39,0,11.76,0,0,1.96,0,0,0,0,1.96,0,0,0,11.76
