stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,63.09,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
 24-34,0,0,0,0,0.82,0.82,0,0,4.1,0,0,0.82,0,0,1.64,0.82,0,0,0,0,10.67,1.64,0,0,0,0,31.19,0
 36-46,0,0,0,0,0,0.81,4.03,0,4.03,0,0,4.83,0,0,0,4.03,0,0.81,0,0,4.83,0,0,0.81,0,0,11.28,0
 48-58,0,0,0,0,0,2.3,2.3,0,5.16,0,0,8.61,0,0,0.57,2.87,0,0,0,0,1.72,0,0,3.44,0,0,5.16,0
 60-70,0,0,0,0,0,32.39,2.94,0.98,8.83,0,0,20.61,0,0,0,9.82,0,0,0,0,1.96,0.98,1.96,5.89,0,0.98,9.82,0
 72-82,0,0,0,0,0,132.52,3.93,1.96,11.78,0,0,17.67,0.98,0.98,0,11.78,0,0,0,0,3.93,0,0,3.93,0.98,0.98,10.8,2.94
 84-94,0,0,0,0,0,138.06,10.62,2.12,11.68,0,1.06,18.05,0,0,2.12,10.62,0,0,0,1.06,0,0,0,0,0,0,8.5,0
 96-106,0,1.09,0,0,1.09,191.25,13.11,1.09,26.23,0,0,14.21,0,0,1.09,9.84,1.09,0,0,0,2.19,0,0,0,0,0,5.46,0
108-118,0,0.77,0,1.53,0,140.94,24.51,0.77,17.62,0.77,0,15.32,0,0,1.53,9.19,0,0,0,1.53,0,0,0,0,0,0,6.13,0.77
120,0,0,0,1.96,0,166.58,23.52,0,15.68,0,0,9.8,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,9.8,0
