stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,2.46,0.82,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,25.78,0,0,0,0.81,0,0,5.64,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,0,0,0,26.4,1.15,0,0,1.15,0,0,5.74,0,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,0,0,9.82,0,0,0,2.94,0,63.8,0.98,0,0,4.91,0,0.98,13.74,0.98,0,0,0.98,0,0,0.98,0.98,0,0
 72-82,0,0,0,2.94,0.98,0,2.94,0.98,0,0.98,27.49,0.98,94.24,0,0,0,6.87,0,0,34.36,0,0.98,0.98,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,2.12,0,0,0,9.56,1.06,110.45,1.06,0,0,6.37,2.12,0,27.61,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,1.09,0,5.46,3.28,0,6.56,0,1.09,0,29.51,2.19,157.37,1.09,0,3.28,9.84,0,1.09,32.79,0,1.09,1.09,4.37,1.09,0,0,5.46,1.09,0
108-118,0,0,0,3.06,1.53,0,6.13,0,0,0,15.32,3.06,135.58,2.3,0,0.77,6.13,0,0,16.85,0,0,0,1.53,0,0.77,0,1.53,0,0
120,0,0,0,3.92,1.96,1.96,1.96,0,0,0,19.6,3.92,170.5,1.96,1.96,1.96,0,0,1.96,17.64,0,0,0,0,0,1.96,0,3.92,0,0
