stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,28.32,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,25,1,0,1,0,0,0,2,1,0,0,0,2,0,0,0,2,1,0,1,5,0,0,0,6,0,16,0,0,8,0,0,0,0,0
 24-34,0,0,0,0,18.88,0,0,0.82,0,4.1,0,0.82,0,0,0,0.82,8.21,0,0,0,3.28,4.1,0,0,18.88,0,0.82,0.82,0,0,27.91,0,1.64,4.1,0,0,0,0,0
 36-46,0,0,0,0,19.34,0,0,0,0,3.22,0,3.22,0,0,0,0,0.81,0,3.22,0,4.03,2.42,0,3.22,33.84,0,0,0.81,0,0,25.78,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,11.48,1.72,0,2.87,0,8.03,0.57,2.87,0.57,0.57,0,1.15,1.15,0,1.15,0,11.48,6.89,0,2.87,28.12,1.15,0,1.15,0,0,16.07,0,0,6.89,0,0,1.15,0,1.15
 60-70,0,0,0,0,15.7,0.98,0,3.93,0,9.82,0.98,4.91,3.93,0,0,0,0.98,0,2.94,0.98,21.59,0.98,0,2.94,36.32,0.98,0,0.98,0,0,38.28,0,0,4.91,0,0,0,0,0
 72-82,0,0,0.98,0,25.52,2.94,0,11.78,0,9.82,5.89,7.85,17.67,0,0,4.91,2.94,0,1.96,0,45.16,5.89,1.96,6.87,44.17,0,1.96,1.96,0,0,13.74,1.96,0,5.89,4.91,0,1.96,0.98,0
 84-94,0,0,1.06,0,49.92,3.19,0,7.43,0,16.99,2.12,5.31,28.68,0,0,8.5,6.37,0,3.19,5.31,28.68,4.25,4.25,0,28.68,0,2.12,4.25,0,0,88.15,4.25,0,3.19,6.37,2.12,1.06,1.06,0
 96-106,0,0,0,0,52.46,6.56,1.09,15.3,0,8.74,4.37,3.28,22.95,0,0,8.74,7.65,0,3.28,4.37,36.06,7.65,5.46,2.19,27.32,1.09,4.37,3.28,0,1.09,65.57,2.19,0,3.28,7.65,4.37,5.46,1.09,0
108-118,0,0,0.77,0,51.32,1.53,2.3,13.02,0.77,19.15,2.3,12.26,21.45,0,0,4.6,8.43,0,1.53,7.66,29.11,1.53,0,2.3,29.87,1.53,0.77,5.36,0,0,49.79,3.83,0,3.06,7.66,0,0.77,0.77,0.77
120,0,0,1.96,0,54.87,3.92,0,5.88,0,19.6,1.96,0,19.6,0,3.92,3.92,1.96,1.96,5.88,7.84,43.12,3.92,1.96,1.96,25.48,1.96,0,1.96,0,0,33.32,1.96,0,1.96,1.96,0,1.96,0,0
