stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,2.46,1.64,0.82,0,0,0.82,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0.81,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,1.15,0,0,0.57,0,0,0,0,0,0.57,0.57,0.57,0,0,0,4.59,2.3,6.31,2.3,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0.98,1.96,1.96,4.91,0.98,0,0,0,1.96,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,1.96,3.93,0.98,0.98,0.98,0,0,0,0.98,0,0,2.94,0.98,3.93,0,0,0,2.94,0.98,11.78,0,0,0,0,5.89,0.98,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,0,14.87,6.37,0,0,0,1.06,0,0,0,0,0,5.31,0,4.25,0,1.06,2.12,5.31,5.31,14.87,0,1.06,0,0,35.05,2.12,0,3.19,0,0,1.06
 96-106,1.09,0,1.09,0,3.28,4.37,12.02,9.84,7.65,0,0,3.28,2.19,4.37,1.09,1.09,1.09,16.39,0,13.11,1.09,0,5.46,15.3,4.37,22.95,2.19,6.56,0,0,52.46,1.09,0,1.09,2.19,2.19,0
108-118,0,0,0,0,2.3,2.3,25.28,8.43,32.17,0.77,0,5.36,6.89,0.77,0,0,0,26.81,0.77,4.6,0,0,8.43,12.26,6.89,14.55,0,1.53,0,3.06,65.11,0.77,0.77,1.53,0,0,0.77
120,0,0,0,0,0,0,7.84,1.96,29.4,0,0,1.96,7.84,0,0,0,0,33.32,0,7.84,0,0,11.76,5.88,13.72,13.72,3.92,0,0,1.96,17.64,1.96,0,0,0,0,0
