stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,1,1,3,1,32,0,0,1,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,165.81,20.52,0.82,0,0.82,4.93,0.82,87.01,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,20.95,0,0.81,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0,991.78,45.12,1.61,0,0.81,0,0,249.76,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,0,49.35,0.57,0,0,5.16,0,0,0.57,0,0,0,0,5.16,0,0.57,1.15,924.4,25.25,1.15,0,0.57,0.57,0,210.59,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,177.66,0,0,0.98,10.8,0.98,0,0,0,0.98,0,0.98,6.87,0,0,0,2001.32,36.32,0,0,0,0.98,0,310.16,0,0,0,0,0.98
 72-82,0,0.98,0,1.96,0,0,108.96,0.98,0,0,12.76,0.98,0.98,0,0.98,0,0.98,0,11.78,0,0,0,891.35,33.38,0,0,0.98,0.98,0,73.62,0.98,0.98,1.96,0,0.98
 84-94,0,1.06,0,4.25,0,0,98.77,0,0,0,14.87,0,0,1.06,0,0,0,0,12.74,1.06,2.12,0,455.61,18.05,0,0,2.12,1.06,0,33.99,1.06,1.06,0,1.06,0
 96-106,0,1.09,0,7.65,2.19,0,53.55,0,0,0,9.84,1.09,1.09,0,0,0,1.09,1.09,10.93,0,0,0,345.34,32.79,0,0,3.28,0,0,12.02,0,1.09,0,0,0
108-118,0,0,0,3.83,0,0.77,42.13,0.77,0,0,8.43,0.77,0,0,0,0,0,0.77,5.36,0,0,0.77,294.13,26.04,3.06,0,0,0,0,9.96,0.77,0,0.77,0.77,0
120,0,0,0,1.96,0,0,41.16,0,0,0,3.92,0,0,0,0,0,0,0,13.72,0,0,0,360.6,15.68,0,0,0,0,0,9.8,1.96,0,0,0,0
